NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"PROYECTO CIERRE PARCELAS EEI M. HERNÁNDEZ, CPR 
GIJÓN Y CP LLOREU, GIJÓN","3.593,70 €",,"ARACIL ARQUITECTURA Y 
ASOCIADOS, S.L.P.",,"1,5 MESES",,
,"REPARACIÓN VIDRIERAS IES DOCTOR FLEMING, OVIEDO","13.485,45 €",,"ART I TECNOLOGIA EN VIDRE, S.L.",,3 MESES,,
,"Servicio de pólizas de responsabilidad civil y accidentes para el 
alumnado que realiza la fase de formación en empresa u 
organismo equiparado dirigida al alumnado de Formación 
Profesional de los grados D y E. Lote 2 Seguros de 
responsabilidad civil","9.986,57 €",,"Caja de Seguros Reunidos, 
Compañía de Seguros Reunidos y 
Reaseguros, S.A",,"1 de febrero de 2025 a 31 
de julio de 2025 (6 meses)",,
,"CSS Y ATDF INSTALACIÓN ASCENSOR IES DR FLEMING, 
OVIEDO","3.344,44 €",,"CARLOS DAVID TRANCÓN 
MARTÍNEZ",,2 MESES,,
,"SERVICIO AT ESTUDIO ESTADO LESIONES FORJADO CRA 
SAN MARTÍN, LA HUERÍA (SAN MARTÍN DEL REY AURELIO)","1.573,00 €",,"CENTRO DE ANÁLISIS Y DISEÑO DE 
ESTRUCTURAS, S.A. (CADESA)",,1 MES,,
,SUMINISTRO DE MOBILIARIO,"3.570,61 €",,"Clarín Librería y Papelería, SL",,45 días,,
,"OBRAS CAMBIO PUERTA ACCESO IES EL BATÁN, MIERES","19.304,34 €",,"CONSTRUCCIONES Y 
PROMOCIONES BALUIS, S.L.",,30 DÍAS,,
,"REDACCIÓN PROYECTO BÁSICO Y EJEC. REFORMA 
BAÑOS CP PADRE NICOLÁS ALBUERNE, PROAZA","4.331,80 €",,DAVID CORTIZO ÁLVAREZ,,1 MES,,
,Suministro de setecientas botellas de agua mineral natural,"185,41 €",,Disceas SL,,Dos días,,
,"PROYECTO BÁSICO Y EJEC Y EST SEG Y SALUD DOS 
UNIDADES PRIMER CICLO EI (0-3) CP CONDADO DE 
NOREÑA, NOREÑA","13.406,80 €",,ELENA QUIDIELLO ROCES,,45 DÍAS,,
,"PROYECT UNIDAD PRIMER CICLO EI 0-3 CP MARCOS DEL 
TORNIELLO, AVILÉS","15.002,79 €",,EMILIO JOSÉ SUÁREZ PÉREZ,,45 DÍAS,,
,"CSS COLOCACIÓN BARANDILLAS Y OBRAS ACCESORIAS 
IES LA FLORIDA, OVIEDO","955,90 €",,ERIKA KOHL PÉREZ,,40 DÍAS,,
,"PROYECTO BÁSICO Y EJEC Y EST SEG Y SALUD 
IMPLANTACIÓN UNIDAD PRIMER CICLO EI (0-3) CP RAMÓN 
DE CAMPOAMOR (NAVIA) Y DE UNA UNIDAD DE PRIMER 
CICLO EI (0-3) CO JESÚS ÁLVAREZ VALDÉS (EL FRANCO)","13.629,44 €",,ESTELA ARBESÚ ANDRÉS,,45 DÍAS,,
,"2 PROYECTOS BÁSICOS Y EJEC Y EST SEG Y SALUD 
IMPLANTACIÓN UNIDAD PRIMER CICLO EI (0-3) CP SAN 
FÉLIX (CARREÑO) Y 1 UNIDAD EI (CP MANUEL ÁLVAREZ 
IGLESIAS-PIEDRAS BLANCAS"" AVILÉS","12.389,92 €",,ESTELA ARBESÚ ANDRÉS,,45 DÍAS,,
,"PROYECTO BÁSICO Y EJEC Y EST SEG Y SALUD 
IMPLANTACIÓN UNA UNIDAD PRIMER CICLO EI (0-3) CP 
TEODORO CUEST, MIERES Y UNA UNIDAD EN AULA SAN 
JORGE DE HERES DEL CRA CABU PEÑES, GOZÓN","10.619,93 €",,ESTELA ARBESÚ ANDRÉS,,45 DÍAS,,
,"PROYECTO BÁSICO Y EJEC Y EST SEG Y SALUD  
IMPLANTACIÓN TRES UNIDS PRIMER CICLO EI (0-3) CP 
PABLO MIAJA","10.750,85 €",,"FRANCISCO ZUVILLAGA DEL 
BUSTO",,45 DÍAS,,
,"PROYECTO BÁSICO Y EJEC Y EST SEG Y SALUD 
IMPLANTACIÓN UNIDAD PRIMER CICLO EI (0-3) CP EL 
VILLAR - TRUBIA Y TRES UNIDS CP LA GESTA, OVIEDO","16.214,00 €",,"FRANCISCO ZUVILLAGA DEL 
BUSTO",,45 DÍAS,,
,Servicio de Catering Escuela Infantil Oscos,"5.295,84 €",,Gerusia SL,,Enero-Marzo 2025,,
,Servicio de Catering Escuela Infantil Grandas de Salime,"2.118,34 €",,Gerusia SL,,21/01/2025-31/03/2025,,
,Servicio de catering para el CRA Occidente de Taramundi,"5.874,00 €",,"Gerusia, SL",,"De 13 de enero a 31 de 
mayo de 2025",,
,"PROYECTO UNIDAD PRIMER CICLO EI (0-3) CP POETA 
JUAN OCHOA, LA LUZ (AVILÉS)","11.035,20 €",,GREGORIO ESTÉVEZ ALONSO,,45 DÍAS,,
,"REDACCIÓN PROYECTO BÁSICO Y EJECUCIÓN CUBIERTA 
IES SALINAS, CASTRILLÓN","6.171,00 €",,GREGORIO ESTÉVEZ ALONSO,,1 MES,,
,"SERVICIO ASISTENCIA TÉCNICA A LA DIRECCIÓN DE 
EJECUCIÓN INTEGRADA EN LA DIRECCIÓN DE OBRAS Y 
LA CSS DURANTE OBRAS SUSTITUCIÓN PARCIAL 
CUBIERTA CIFP AVILÉS","3.484,80 €",,GREGORIO ESTÉVEZ ALONSO,,2 MESES,,
,"Servicio de impresión de 450 guias en papel y pdf, tamaño A5.","2.995,20 €",,IMPRIMIMOS S.L. (GRÁFICAS CANO),,"del 19 de diciembre (fecha 
adjudicación) al 31 de 
diciembre.",,
,"ADECUACIÓN ESPACIOS CP VIRGEN DE LAS MAREAS, 
AVILÉS","11.827,75 €",,"INICIATIVAS EMPRESARIALES 
ASTURIANAS, S.L. (INSA 
AISLAMIENTOS)",,7 DÍAS,,
