NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"INSTALACIÓN BATERÍA 
CONDENSADORES TÚNEL DE 
PILOTUERTO Y GLORIETA DE 
SALAS PARA DISMINUIR 
ENERGÍA REACTIVA. 
23/210/COEX-M","9.335,88","7.715,60","ADOBER ELECTRICIDAD, 
S.L.",,1 MESES,SERVICIOS,
,"RENOVACIÓN DE TABLAS DE 
PANTALANES EN EL PUERTO 
DE SAN ESTEBAN DE PRAVIA","39.994,60","33.053,39","ALMARIN EQUIPOS Y 
SERVICIOS PORTUARIOS, 
SL",,1 MES,OBRAS,
,"DESATASCO Y LIMPIEZA DEL 
SISTEMA DE DRENAJE Y 
DESAGÜE DE LAS 
INSTALACIONES DEL 
LABORATORIO DE MATERIALES","4.053,50","3.350,00","ALSERTRANS, S.L. (AST 
GRUPO)",,2 MESES,SERVICIOS,
,"MEJORA DE LA SEGURIDAD 
VIAL EN VARIOS TRAMOS DE 
LAS CARRETERAS AS-251, EL 
ENTREGO – LIERES A NAVA, 
POR MARTIMPORRA. 
23/212/COEX-M","47.757,49","39.469,00","ALVARGONZÁLEZ 
CONTRATAS, S. A.",,14 DÍAS,OBRAS,
,"INSTALACIÓN DE PAVIMENTO 
DE FIBRA EN PANTALANES DE 
LOS PUERTOS DE LASTRES Y 
EL PUNTAL","44.693,64","36.936,89","ASTILLEROS AMILIBIA 
UNTZIOLAK SL",,1 MES,OBRAS,
,"CAMBIO NEUMÁTICOS 
VEHÍCULOS SERVICIO DE 
PUERTOS JUNIO 2023","1.928,69","1.593,96","AUTO CENTER 
PRINCIPADO SL",,1 MES,SERVICIOS,
,"ASISTENCIA TÉCNICA PARA EL 
CONTROL DE LOS 
HORMIGONES DE LAS OBRAS 
DE RECARGA DE BLOQUES EN 
EL PUERTO DE LASTRES","6.655,00","5.500,00",CADESA,,3 MESES,SERVICIOS,
,"SERVICIO DE CARGA DE GAS 
EN LOS CIRCUITOS DE AIRE 
ACONDICIONADO DE 
TRACTORES DE LAS BRIGADAS 
DE CONSERVACIÓN DE 
CARRETERAS",2.420.-€,2.000.-€,"CSG ELECTRONICA 
CONFORT SEGURIDAD Y 
GESTIÓN S.L",,5 MESES,SERVICIOS,
,"REPARACIÓN DE 
INSTALACIONES ELÉCTRICAS 
EN DISTINTAS CARRETERAS DE 
LA SECCIÓN OCCIDENTAL. 
23/206/COEX-M","40.087,26","33.129,97","ELECTRICIDAD LLANO, S.L.",,1 MESES,SERVICIOS,
,"MRR: ASIST. TEC. RED. 
POYECTO TAPICES RODANTES 
HUCA","17.847,50","14.750,00",EPTISA,,3 MESES,SERVICIOS,
,"SAT TAPICES RODANTES 
ACCESO HUCA","17.847,50","14.750,00","EPTISA SERVICIOS DE 
INGENIERÍA SL",,3 MESES,SERVICIOS,
,"REPARACIÓN Y 
MANTENIMIENTO DE LOS 
VEHÍCULOS RENAULT CLIO 
MATRÍCULA 6041 GVD Y 7998 
GJX,","979,95","809,88","FERNANDEZ*ALVAREZ,VIC
TOR MANUEL",,5 DÍAS,SERVICIOS,
,"ALQUILER DE UN NIVEL 
TOPOGRÁFICO DIGITAL DE 
ALTA PRECISIÓN CON MIRA 
INVAR DE 3 METROS Y 
ADQUISICIÓN DE MIRA INVAR 
DE CÓDIGO DE BARRAS. 
23/202/COEX-M","2.150,78","1.777,50",GLOBAL GEOSYSTEMS S.L.,,4 MESES,SUMINISTROS,
