NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2023/2941,"Servicio de desalojo y limpieza del edificio del 
Principado de Madrid","17.290,90 €","14.290,00 €","ADVANCED 
SOLUCTIONS BIOCLEAN 
SERVICES SL",B88279542,5 DÍAS,SERVICIO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""3.000,90 €""}]"
CONP/2023/4680,"Suministro de tarjetas para equipos de 
climatización","2.008,81 €","1.660,17 €",ASTURCAL SL,B33207309,20 DÍAS,SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""348,64 €""}]"
CONP/2023/3993,"Suministro y servicios de adaptación de 
diseño de impresión de cuatro soportes 
publicitarios “roll up” para eventos a 
desarrollar por la Dirección General de 
Asuntos Europeos en relación con el 
Programa FEDER de Asturias 2021-2027","338,80","280,00",ASTURCOPIA S.L.,B33115957,3 días,"Suministro y 
servicios","[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""58,80""}]"
CONP/2023/814,"Suministro de material de oficina para 
comparativa muestras Acuerdo Marco 
material de oficina no inventariable","1.376,71 €","1.137,78 €","CARLIN MERCADO DE 
PAPEL SL",B50527258,5 DÍAS HÁBILES,SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""238,93 €""}]"
CONP/2023/2596,"Suministro de sillas de trabajo diversos 
departamentos ubicados en Edificios 
Administrativos","5.944,13 €","4.912,50 €","CIENFUEGOS Y CANTELI 
EQUIPAMIENTO SL",B74402694,20 DÍAS,SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""1.031,63 €""}]"
CONP/2023/3949,Material de oficina Lote 1,"1.382,30 €","1.142,40 €","CLARÍN LIBRERÍA Y 
PAPELERÍA SL",B74016932,5 DÍAS HÁBILES,SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""239,90 €""}]"
CONP/2023/2483,"Suministro de fundas de plástico 
enfundadores paraguas accesos Edificios 
Administrativos","1.234,20 €","1.020,00 €","COMERCIAL MANUEL 
URONES SL",B33298738,3 DÍAS,SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""214,20 €""}]"
CONP/2023/1966,"Servicio de grabación, diseño, edición y 
producción de un video promocional de 
lanzamiento del Programa FEDER de Asturias 
2021/2027",7865,"65.000,00",CRONISTAR S.L.,B74057217,17 DÍAS,Servicio,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""1.365,00""}]"
CONP/2023/1033,"Suministro de materiales y útiles de pintura 
para labores de mantenimiento","191,81 €","158,52 €","IBERICA DE 
REVESTIMIENTOS 
GRUPO EMP. SL",B74415290,"HASTA QUE SE 
ENTREGUE EL 
MATERIAL",SUMINISTRO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""33,29 €""}]"
CONP/2023/1263,"Servicio de redacción de actualización del 
proyecto de ejecución y derribo y su estudio 
de seguridad y salud de los inmuebles del 
antiguo HUCA","17.206,20 €","14.220,00 €","IDEAS Y FUTURO 
INGENIERÍA SL",B74329996,2 MESES,SERVICIO,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""Importe IVA"", ""value"": ""2.986,20 €""}]"
