NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2025/7595,"Carpetillas
 Consejo de Gobierno","166,98",138,"Imprimimos, S.L.",B74026097,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""28,98""}]"
CONP/2025/5918,"Contrato para la adquisición 
(renovación) de tres (3) licencias de la 
aplicación de extracción y análisis de 
datos ACL Robotics (Analytics) para el 
Servicio de Control Financiero.","7.665,47 €","6.335,10 €",AVVALE WISE SLU,B-84970243,"Del 22 de julio de 2025 
hasta el 21 de julio de 
2026",Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""1.330,37 €""}]"
Conp/2025/8824,"Compra 40 USB Proyecto Presupuestos 
Generales Principado de Asturias 2026","308,55 €","255,00 €","Prisma Gabinete 
Diseño, S.L.",B33544560,1 dia,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""53,55 €""}]"
CONP/2025/5917,Renovación sistema CCTV del IMLAS,"2.504,70 €","2.070,00 €","PLANA FABREGA 
ASTURIAS S.L",B52543303,DOS (2) MESES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""434,70 €""}]"
CONP/2025/6283,"PIDAL - Reparación máquina lavado 
coches","1.531,38 €","1.265,60 €",VARESER 96 S.L.,B96534805,DOS (2) MESES,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""275,78 €""}]"
CONP/2025/6286,"GIJÓN - Válvulas en la conexión de las 
mangueras de 14 BIEs en Edificio 
Administrativo","1.286,25 €","1.063,02 €",VARESER 96 S.L.,B96534805,UN (1) MES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""223,23 €""}]"
CONP/2025/6559,"BUENAVISTA OESTE - Compresor en 
unidad exterior de Climatización","3.751,00 €","3.100,00 €",VARESER 96 S.L.,B96534805,DOS (2) MESES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""651,00 €""}]"
CONP/2025/6655,"BUENAVISTA OESTE - Rodamiento 
polea ascensor","1.638,87 €","1.354,44 €",SCHINDLER S.A,A50001726,UN (1) MES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""284,43 €""}]"
CONP/2025/8272,"ASTURCON - Cambio de aceite 
enfriadoras","14.749,90 €","12.190,00 €",VARESER 96 S.L.,B96534805,DOS (2) MESES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""2.559,90 €""}]"
CONP/2025/8311,ASTURCON - reparación fuga,"10.272,90 €","8.490,00 €",VARESER 96 S.L.,B96534805,UN (1) MES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""1.782,90 €""}]"
CONP/2025/8371,"BUENAVISTA - variador ascensor 
derecho","2.943,53 €","2.470,00 €",SCHINDLER S.A,A50001726,UN (1) MES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""518,70 €""}]"
CONP/2025/8364,"Renovación sistema alarma y cctv 
Centro Innov. Y Economía en Igualdad","2.698,71 €","2.230,34 €",NORVISE S.L,B74398777,UN (1) MES,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""468,37 €""}]"
CONP/2025/5646,"Habilitación de zonas de trabajo 
mediante tabiques modulares 
(Educación y Buenavista Oeste)","11.286,28 €","9.327,50 €","TABIQUES
 DIVISORIOS ARCO 
S.L",B33617671,UN (1) MES,Obras,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""1.958,78 €""}]"
CONP/2025/6054,"Coordinación en materia de seguridad 
y salud durante la ejecución de las 
obras de reforma interior en edificio 
Presidencia. Sala de Prensa en planta 
segunda","2.008,60 €","1.660,00 €","SIRME
 INGENIERIA",B74455270,TRES (3) MESES,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""348,60 €""}]"
CONP/2025/6329,Sillas de trabajo de oficina,"17.744,60 €","14.664,96 €","CIENFUEGOS Y 
CANTELI 
EQUIPAMIENTO SL",B74402694,QUINCE (15) DIAS,Suministros,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""3.079,64 €""}]"
CONP/2025/6331,"Asistencia especializada para el manejo 
de la cabina de los aparatos elevadores 
de diversos edificios administrativos","6.292,00 €","5.200,00 €","ORONA
 S.COOP.",F20025318,CUATRO (4) MESES,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""1.092,00 €""}]"
CONP/2025/6824,"Inspección y certificación de línea de 
vida edificio Plaza España,5","519,69 €","429,50 €","VERTIKALIA
 TRABAJOS 
VERTICALES",B74376120,DOS (2) MESES,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""90,19 €""}]"
CONP/2025/7001,"Retirada y gestión de diversos 
materiales almacenados en dos locales 
ubicados en el Pabellón Institucional 
del Principado de Asturias (Gijón)","2.420,00 €","2.000,00 €","PROINLEC
 NORTE ACTIVA S.L.",B74442591,TRES (3) DIAS,Servicios,"[{""column"": ""Año"", ""value"": ""2025""}, {""column"": ""Importe IVA"", ""value"": ""420,00 €""}]"
