NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Mantenimiento de grupos electrógenos,"834,90 €","690,00 €",Adober Electricidad S.L.,,10 meses,Servicios,
,"Mantenimiento de la caldera para producción de agua 
caliente","701,80 €","580,00 €",Adober Electricidad S.L.,,10 meses,Servicios,
,Contrato de mantenimiento climatización de Tineo,"1.071,58 €","885,60 €","Adober Electricidad, S.L.",,1 año,Servicios,
,Análisis de biotoxinas en zonas de producción de moluscos,"17.891,93 €","14.786,72 €",Anfaco - Cecopesa,,Hasta el 30.12.23,Servicios,
,Limpieza del pozo de bombas y arqueta de desague del CEP,"900,24 €","744,00 €","Antea Medioambiente, S.L.",,Un (1) mes,Servicios,
,"Suministro de recambios del autoclave utilizado para el 
tratamiento de las muestras de encefalopatías 
espongiformes","180,12 €","148,86 €","Antonio Matachana, S.A.",,1 mes,Suministro,
,"Contrato del servicio de inspección periódica reglamentaria 
del ascensor instalado en la Oficina Comarcal de Villaviciosa","102,85 €","85,00 €","Applus Organismo De Control, S.L.U.",,1 año,Servicios,
,Mantnimiento del ascensor,"968,00 €","800,00 €","Ascensores del Cantábrico, S.L.",,Desde 01/04/23 hasta 31/12/23,Servicios,
,Mantenimiento del ascensor,"217,80 €","180,00 €","Ascensores Principado, S.L.",,Hasta 31/03/2023,Servicios,
,Mantenimiento de las embarcaciones adscritas al CEP,"3.436,40 €","2.840,00 €","Astur Sercomar, S.L.",,Dos (2) meses,Servicios,
,Reparación del motor del vehículo 8832 LCZ,"198,63 €","164,16 €","Asturhíbrido, S.L.",,Una (1) semana,Servicios,
,Suministro de material fungible de laboratorio,"3.728,88 €","3.081,72 €","Asturlab Asturias, S.L.",,1 mes,Suministro,
,Papel de impresora y cintas rotulables,"316,96 €","261,95 €","Asuagar 1948, S.L.",,Un (1) mes,Servicios,
,Remolque isotermo para vigilancia,"5.088,05 €","4.205,00 €","Axlecar, S.L.",,Un (1) mes,Suministro,
,Medicinas y material sanitario para embarcaciones,"581,16 €","254,94 €",Beatriz Mediavilla Cachón,,Una (1) semana,Suministro,
,"Reparación urgente PeuGeot 106 9325BFP, Oca Luarca por 
ITV desfavorable","307,39 €","254,04 €",Benigno Fano García,,15 días,Servicios,
,Suministro de reactivos y medios de cultivo,"3.698,27 €","3.056,42 €","Biomerieux España, S.A.U.",,10 meses,Suministro,
,"Matrícula para la asistencia de un trabajador de la DGPM al 
curso de actualización de formación básica en Seguridad 
Básica","330,00 €","272,73 €","Cantábrica Consultores Marítimos, S.L.",,Dos (2) días,Servicios,
,"Revisión anual extintores del local sito en C/ vázquez de 
Mella, 9","500,00 €","500,00 €",Carlos Borrego Salazar,,anual,Servicios,
,Revision de los extintores del Laboratorio de Sanidad Animal,"91,23 €","75,40 €",Carlos Borrego Salazar,,1 mes,Servicios,
,Reparación robot Tecan del departamento de campañas,"4.080,12 €","3.372,00 €","Chemlabor, S.L.",,1 mes,Servicios,
,Inserciones publicitarias,"5.324,00 €","4.400,00 €","Conexión Empresarial, S.L.",,Hasta 31/12/22,Servicios,
,"Patrocinio I Congreso Nacional de Legumbre de Calidad 
Diferenciada","8.470,00 €","7.000,00 €",Consejo Regulador Igp Faba Asturiana,,4 días,Servicios,
,Mantenimiento de la embarcación EL BRAVO,"548,98 €","453,70 €",Cristina Santirso Álvarez,,Un (1) mes,Servicios,
,"Puesta en marcha proyecto INTERREG: Soporte material y 
apoyo técnico","17.908,00 €","14.800,00 €","Desarrollo Estrategias Exteriores, S.A. 
(Dex Sa)",,8 meses,Servicios,
,"Suministro de reactivos y productos para diferentes análisis 
del Laboratorio","5.057,72 €","4.187,16 €","Dismed, S.A.",,10 meses,Suministro,
,Suministro de reactivos para técnicas de PCR,"10.112,71 €","8.357,61 €","Dismed, S.A.",,10 meses,Suministro,
,Instalacion electrica en el Laboratorio de Sanidad Animal,"2.199,34 €","1.817,64 €","Dismed, S.A.",,1 mes,Servicios,
,"Cuota anual de mantenimiento de la acreditación (Expediente 
ENAC LE/847)","999,46 €","826,00 €",Entidad Nacional De Acreditación,,10 meses,Servicios,
,Seguro para las embarcaciones,"3.466,35 €","3.466,35 €",Fitc Mutua de Seguros y Reaseguros,,Hasta 31/12/22,Servicios,
,"Patrocinio Madrid Fussión 2023 para promoción marca 
Alimentos del Paraíso Natural","18.143,95 €","14.995,00 €","Foro de Debate, S.L.U.",,1 semana y 2 días,Servicios,
,"Servicio para apoyo del programa de vigilancia sanitaria de la 
fauna silvestre y cuidado de los animales en recuperación","16.587,65 €","13.708,80 €",Fundación Oso Asturias,,Hasta el 30 de abril de 2023,Servicios,
,"Patrocinio internacional Cider Summit Asturies 2023 para 
promoción ""APN""","17.847,50 €","14.750,00 €","Guerrilla Import, S.L.",,1 semana y 2 días,Servicios,
,"Patrocinio de la 13ª edición del Concurso Mejor Fabada del 
Mundo","2.541,00 €","2.100,00 €","Gustatio Comunicación, S.L.",,2 meses y 3 semanas,Servicios,
,Reparación robot Hamilton,"3.630,00 €","3.000,00 €","Hamilton Iberia, S.L.U.",,1 mes,Servicios,
,Jornadas Reto Demográfico Somiedo: Comidas,"2.000,00 €","1.818,18 €","Hnas. Álvarez Cano, C.B.",,2 días,Servicios,
,Recambios equipo Precellys,"287,90 €","237,93 €","Idexx Laboratorios, S.L.",,1 mes,Suministro,
,Recambio equipo homogeneizador de tejidos,"287,90 €","237,93 €","Idexx Laboratorios, S.L.",,1 mes,Suministro,
,"Gestión de contenidos de las cuentas en las redes sociales 
de Alimentos del Paraíso Natural 2023","12.922,00 €","10.680,00 €","Impact 5, S.A.",,1 año y 4 días,Servicios,
,Luz almacenes de El Musel,"600,00 €","495,87 €","Impesapi, S.A.",,Hasta el 31.12.23,Servicios,
,Determinación de toxicidad de tipo ciguatoxina,"9.075,00 €","7.500,00 €",IRTA,,De marzo a diciembre,Servicios,
,Mantenimiento anual de los extintores de las embarcaciones,"44,72 €","36,96 €","José Antonio Docal, S.L.",,Un (1) mes,Servicios,
,"Revisión de los chalecos salvavidas y los trajes de inmersión 
de la embarcación NVA. ASTURIAS","372,62 €","307,95 €","José Antonio Docal, S.L.",,Un (1) mes,Servicios,
,"Mantenimiento de las balsas salvavidas de las 
embarcaciones NVA. ASTURIAS y EL BRAVO","936,80 €","774,21 €","José Antonio Docal, S.L.",,Un (1) mes,Servicios,
,Comida protocolaria con el MAPA,"133,00 €","120,91 €","La Oveja Negra, S.L",,1 día,Servicios,
,Poda de 4 palmeras mediante cesta elevadora,"5.069,78 €","4.189,90 €","Lola Green, S.L.",,1 mes,Servicios,
,"Reparación urgente de vehículo Fiat Punto 5437CHM de la 
Oca Vegadeo","109,35 €","90,37 €",Luis Ivan Vallina Baniela,,15 días,Servicios,
,"Reparación urgente de vehículo Fiat Punto, matrícula 
5459CHM","145,20 €","120,00 €",Manuel Rodríguez Carreño,,5 días,Servicios,
,Suministro de material de ferretería,"1.149,50 €","950,00 €","Martín Vega Maquinaria, S.A.",,Hasta 30.12.23,Suministro,
,Suministro gas propano para el Cia de Pola de Allande,"2.420,00 €","2.000,00 €","Ned Suministro Glp, S.A.U.",,1 año,Servicios,
,Reparación de un pinchazo y equilibrado de la rueda,"42,35 €","35,00 €","Neumáticos Sirgo, s.l.",,Una (1) semana,Servicios,
,Suministro de kits para la detección de antibióticos en leche,"2.923,92 €","2.416,46 €","Nirco, S.L.",,10 meses,Suministro,
,"Soporte del modulo de gestión de fondos FEMP para el 
cierre del programa operativo","18.137,77 €","14.989,89 €","Oesia Networks, S.L.",,Hasta el 16.03.24,Servicios,
,"Contrato del servicio de mantenimiento ascensor Oficina 
Comarcal de Villaviciosa","836,35 €","691,20 €","Orona, Scoop.",,1 año,Servicios,
,"Adquisición de vestuario y equipo básico de trabajo para el 
parque móvil","963,45 €","796,24 €","Prendas Laborales San Antonio, S.L.",,30 días,Suministros,
,"Servicio de seguridad para el control de accesos a los 
exámenes de titulaciones náuticas deportivas","271,89 €","224,70 €","Prosegur Soluciones Integrales de 
Seguridad España, S.L.",,Dos (2) días,Servicios,
,Impresión de tarjetas de titulaciones náuticas,"892,38 €","737,50 €","Publiasturias Procesos de Impresión, 
S.L.",,Hasta 31/12/22,Servicios,
,Impresión de bridas para marcaje,"234,74 €","194,00 €","Publiasturias Procesos de Impresión, 
S.L.",,Una (1) semana,Servicios,
,"Patrocinio,creación de contenido audiovisual y spots 2023 
Alimentos del Paraíso","15.730,00 €","13.000,00 €",Raquel Mendaña Cordón,,9 meses y 2 semanas,Servicios,
,"Adquisición de columnas de inmunoafinidad para la 
realización de cromatografías","12.401,29 €","10.249,00 €","R-Biopharm España, S.A.",,10 meses,Suministro,
,Contrato de mantenimiento climatización de Tineo,"196,48 €","162,38 €","Red Ofisat, S.L.U.",,Hasta 31/12/2023,Servicios,
,CO2,"1.669,80 €","1.380,00 €",S.E. Carburos Metálicos,,Hasta 31/12/22,Suministro,
,Suministro de pipetas monocanal,"1.143,45 €","945,00 €","Sarstedt, S.A.U.",,1 mes,Suministro,
,"Suministro de reactivos para la realización de la técnica de 
fijación de complemento (Brucelosis)","6.957,50 €","5.750,00 €","Serovet 2007, S.L.",,10 meses,Suministro,
,Suministro de material de limpieza,"348,88 €","288,33 €","Servicios Internacionales Reunidos, S.A.",,1 mes,Suministro,
,Revisión anual de radiobalizas,"72,60 €","60,00 €","Servicios Marítimos de Seguridad, S.L.",,Un (1) mes,Servicios,
,Monitor de PC para embarcación,"533,61 €","441,00 €","Servicios Marítimos de Seguridad, S.L.",,Un (1) mes,Suministro,
,Envío de muestras mediante transporte urgente,"6.655,00 €","5.500,00 €","Seur Geopost, S.L.",,Hasta 31/12/22,Servicios,
,Suministro de gases para equipos de laboratorio,"2.303,28 €","1.903,54 €","Sociedad Española De Carburos 
Metalicos, S.A.",,10 meses,Suministro,
,Reparación de la embarcación CARABELA,"350,24 €","289,45 €","Sportnautic, S.C.",,Una (1) semana,Servicios,
,Limpieza y mantenimiento de la embarcación RÍA DEL EO,"1.508,85 €","1.246,98 €","Sportnautic, S.C.",,Un (1) mes,Servicios,
,"Mantenimiento y reparación urgente Fiat Punto 4996BWY 
Oca Llanes","759,07 €","627,33 €","Talleres Casi, S.L.",,1 mes,Servicios,
,Reparación de un vehículo,"2.057,04 €","1.700,03 €","Talleres Casi, S.L.",,Una (1) semana,Servicios,
,"Reparación averia urgente Suzuki Santana 4648GJH, Oca de 
Pravia","569,34 €","470,53 €",Talleres Castañeda S.L.,,10 días,Servicios,
