NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Análisis de datos de geolocalización y extracción obtenidos de la campaña de arranque de ocle 2024 y la 
integradía de una herramienta de declaración de actividad en la plataforma Ipesca","11.495,00 €","9.500,00 €",3OES Leading Software SL,,Seis (6) mesesServicios,,
,Suministro de guantes desechables y papel de filtro,"3.055,25 €","2.525,00 €","A tu lado grupo multiservicios, S.L.",,1 mes,Suministros,
,Mantenimiento de grupo electrogeno,"834,90 €","690,00 €","Adober Electricidad, S.L.",,9 meses,Servicios,
,Análisis toxicológico para el diagnóstico de intoxicaciones de fauna silvestre,"9.516,65 €","7.865,00 €","Agencia Consejo Superior de Investigaciones 
Científicas, Instituto de investigación en recursos 
cinegéticos (IREC)",,hasta el 15 de diciembre de 2024,,
,Catering Jornadas Ayudas PAC,"8.910,00 €","8.100,00 €","Agroalimentaria Judith, S.L.",,3 días,Servicios,
,Analisis para detectar presencia de dioxinas en muestras de piensos o materias primas para piensos,"1.194,92 €","987,54 €","Agrolab Iberica, S.L.",,4 Semanas,Servicios,
,Mantenimiento preventivo de las instalación de gases del Laboratorio de Sanidad Animal,"750,20 €","620,00 €","Air Liquide España, S.A.",,3 meses,Servicios,
,"Actualizacion del proyecto de mejora de pista al Collao de Ordes, concejo de Amieva","4.235,00 €","3.500,00 €",Alfonso Aguiar Marcos,,1 mes,Servicio,
,Redacción de proyecto técnico para la ampliación de un pantalán,"5.687,00 €","4.700,00 €",Almarín Equipos y servicios portuarios SL,,Un (1) mes,Servicios,
,Equipo compacto para el cultivo de microalgas,"18.089,50 €","14.950,00 €",Aqualgae SL,,Dos (2) mesesSuministros,,
,Cambio de aceite y filtros y sustitución de placas de matrícula del vehículo 4614 GFP,"545,17 €","450,55 €",Armando Murias Iglesias,,Una (1) semanaServicios,,
,Cambio de aceite y filtros y sustitución de placas de matrícula del vehículo 4557 GFP,"457,95 €","378,47 €",Armando Murias Iglesias,,Una (1) semanaServicios,,
,Impartir modulos de cursos incorporacion de jovenes a la empresa agraria,"4.887,19 €","4.039,00 €","Asesoramiento agrario asturiano, S.L.",,2 meses y 1 diaServicios,,
,Servicio para supervisión y asesoramiento veterinario experto en centros ictiogénicos,"18.142,74 €","14.994,00 €",Asociación Asturiana de Pscicultores,,hasta 31 de diciembre de 2024,,
,Mantenimiento de embarcaciones,"4.542,72 €","3.754,31 €",Astur Sercomar SL,,Dos (2) mesesServicios,,
,Reparación del motor de arranque de la embarcación EL RINCONÍN,"933,52 €","771,50 €",Astur Sercomar SL,,Una (1) semanaServicios,,
,Adquisicion material de toma de muestras y realizacion de pruebas diagnosticas,"179,69 €","148,50 €","Asturlab Asturias, S.L.",,1 Mes,Suministros,
,"Suministro de contenedores de seguridad, placas de Petri y envase tipo duquesa para el Laboratorio de 
Sanidad Animal","1.122,94 €","928,05 €","Asturlab Asturias,S.L.",,2 meses,Suministros,
,Suministro de material fungible de laboratorio,"3.338,62 €","2.759,19 €","Asturlab Asturias,S.L.",,2 meses,Suministros,
,Suministro de reactivos y disolventes,"930,91 €","769,35 €","Asturlab Asturias,S.L.",,1 mes,Suministros,
,Suministro de reactivos para el departamento de microbiologia,"792,21 €","654,72 €","Asturlab Asturias,S.L.",,1 mes,Suministros,
,Suministro de material fungible ensayos Fisicoquimicos,"587,31 €","485,38 €","Asturlab Asturias,S.L.",,1 mes,Suministros,
,Mantenimiento del compresor,"496,94 €","410,69 €",Asturtecnia SL,,Un (1) mes,Servicios,
,Suministro de una cizalla,"228,67 €","188,98 €",Asuagar 1948 SL,,Un (1) mes,Suministros,
