NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Reparación de barrera de 
accesp a la Cofradia del puerto 
de Ribadesella","683,02 €","564,48 €","BTF GROUP ITALIBERICA DE 
AUTOMATISMOS, SL",,1 mes,Obras,
,"Suministro 50 agarraderas a 
techo para el funicular de 
Bulnes","304,50 €","1.450,00 €",CARROCERIAS FERQUI S.L.,,1 mes,Suministro,
,"Adquisicion de material de 
oficina homologado con 
destino al Servicio de Gestion 
del Medio Natural y 
Prevención de Incendios","725,09 €","599,25 €","COMERCIAL MANUEL 
URONES S.L.",,Año 2025,Suministro,
,Material de Imprenta SGT,"738,10 €","610,00 €","IMPRENTA QUILOGAS, S.L.",,15 días,Suministro,
,"Reparación alumbrados led de 
los puertos de Viavélez, Tapia, 
Luarca, El Puntal y Lastres","14.806,41 €","12.236,70 €","LA ELECTRICA ALVAREZ 
SIRGO SA.",,1 mes,Obras,
,"Revisión, adecuación de 
normativa y legalización de los 
centros de mandos 23 y 24, 
existentes en la margen 
derecha del Puerto de 
Ribadesella.","6.629,42 €","5.478,86 €",NIT LUX SA,,1 semana,Servicio,
,"Suministro de consumibles 
para el taller de carpintería 
metálica y parque móvil del 
Servicio de Puertos","17.836,08 €","14.740,56 €","REPUESTOS Y RECAMBIOS 
DEL NORTE SL",,1 mes,Suministro,
,"Suministro de luminarias para 
el funicular de Bulnes","1.638,00 €","7.800,00 €","SALTOKI ASTURIAS, S.L.",,1 mes,Suministro,
,"Adquisicion de papel multiuso 
con destino a la Direccion 
General de Custodia del 
Territorio y Prevencion de 
Incendios","884,95 €","731,36 €","SUMINISTROS INTEGRALES 
GRANDA XXI S.L.L. (OFIZE)",,Año 2025,Suministro,
,"Suministro de equipación 
laboral","836,36 €","3.982,66 €","UNION FERRETERA ASTUR 
S.L.",,2 MESES,Suministro,
