NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Suministro de material para 
maquinaria auxiliar de desbroce 
sección central . 25/066/coex-m","12.786,07 €","10.567,00 €","AGROJARDIN TAMARGO, 
S.L.",,1 mes,SUMINISTRO,
,"Instalación de suplementos de 
flotación y reparación de 
anclajes en pantalán remero en 
el puerto de Castropol","7.474,40 €","6.177,19 €","ALMARIN EQUIPOS Y 
SERVICIOS PORTUARIOS, 
SL",,2 MESES,OBRAS,
,"Renovación de la baliza 
luminosa número  02715 del 
sistema de señalización 
marítima, en el puerto de Tapia 
de Casariego","3.213,76 €","2.656,00 €","ALMARIN, EQUIPOS Y 
SERVICIOS PORTUARIOS, 
S.L",,1 DÍA,SUMINISTRO,
,"Servicio de gestión, recogida y 
transporte de residuos 
contaminantes generados por 
un vertido accidental en la 
carretera ll-1 (carretera de 
ables)","121,00 €","110,00 €","AREA DE GESTIÓN 
AMBIENTAL S.L",,15 DÍAS,SERVICIO,
,"Servicio de gestión, recogida, 
transporte y eliminación de los 
residuos contaminantes 
generados en el parque de 
maquinaria de oviedo adscrito 
al servicio de conservación y 
explotación de carreteras","1.056,00","960,00","AREA DE GESTIÓN 
AMBIENTAL S.L",,12 MESES,SERVICIO,
,"Suministro
de
miras/visores
térmicos con destino al Servicio
de Agentes Medioambientales","10.030,90 €","8.290,00 €","ARMERÍA ÁLVAREZ, S.L.",,3 meses,Suministro,
,"Señalización vertical y 
balizamiento con destino a los 
distintos parques de 
conservación de la zona 5 de la 
sección central del servicio de 
conservación de carreteras . 
25/061/coex-m","13.702,33 €","11.324,24 €","ARPOSA 60, S.L.",,3 meses,OBRA,
,"Señalización vertical para la 
mejora de seguridad vial de la 
zona 4 de la sección central del 
servicio de conservación de 
carreteras . 25/070/coex-m","13.073,11 €","10.804,22 €","ARPOSA 60, S.L.",,3 meses,OBRA,
,"Servicio de revisión técnica 
para acreditación de 
conformidad de las máquinas 
mini excavadoras compactas 
adscritas al servicio de 
explotación de carreteras","684,04","565,32",ARSAN S.L,,15 DÍAS,SERVICIO,
,"Nuevo pavimento de fibra para 
los pantalanes de palanca 2 y 
pasarela de acceso de la 
palanca 3 del puerto de Llanes","42.955,00 €","35.500,00 €","ASTILLEROS AMILIBIA 
UNTZIOLAK SL",,"2,5 MESES",SERVICIO,
,"NUEVO DEPÓSITO DE AGUA 
Y MEJORA DE LA RED DE 
DISTRIBUCIÓN DE AGUA 
POTABLE A SOMINES-
GRADO","45.256,88 €","37.402,38 €","ASTURAGUA SERVICIO 
INTEGRAL DEL CICLO 
DEL AGUA S.A.",,3 MESES,OBRA,
,"ACTUACIONES PUESTA EN 
MARCHA ETAP ZARRÍN EN 
LA ESPINA (SALAS)","33.033,00 €","27.300,00 €","ASTURAGUA SERVICIO 
INTEGRAL DEL CICLO 
DEL AGUA S.A.
A66141201",,1 MES,OBRA,
,"Suministro de cuchillas de 
equipos de corte para los  
tractores desbrozadores 
adscritos al servicio de  
explotación de carreteras","17.908,00","14.800,00",ASTURCERES S.L,,6 MESES,SUMINISTRO,
,"Suministro de repuestos y 
componentes para la 
reparación de los tractores 
adscritos al servicio explotación 
de carreteras","18.029,00 €","14.900,00 €",ASTURCERES S.L,,6 MESES,SUMINISTRO,
,"Suministro de grilletes para 
eslabones de las cuchillas de 
equipos de corte en los 
tractores desbrozadores 
adscritos al servicio de 
conservación y explotación de 
carreteras","14.025,00 €","11.590,91 €",ASTURCERES S.L,,6 MESES,SUMINISTRO,
,"Suministro de stock de utillaje
para la prevención de incendios
forestales
de la Guardería del
Medio Natural","13.996,68 €","11.567,50 €","ASTURTECNIA, S.L.",,2 meses,Suministro,
,"MEMORIA VALORADA 
COLECTOR DE 
INCORPORACIÓN
 DE LA ZONA SUR DE 
CESPEDERA AL 
SANEAMIENTO GENERAL 
(CARREÑO)","38.720,00 €","32.000,00 €","ASTURVIESCA S.L.
B74081456",,1 MES,OBRA,
,"MANTENIMIENTO VEHÍCULO 
DACIA DUSTER 7083 KZL","253,22 €","209,27 €","AUTOCENTER 
PRINCIPADO S.L.",,3 DÍAS,SERVICIO,
,"Corte del cable tractor y 
reconstrucción del terminal en 
el funicular Bulnes","4.719,00 €","3.900,00 €","AUXILIAR MINERA DEL 
NORTE SA",,1 MES,OBRA,
,"Servicio de reparación de 
ballestas para los camiones 
2885 ggj, 2907 ggj y 4279 gjc 
adscritos a la dirección general 
de infraestructuras","3.025,00 €","2.500,00 €","BALLESTAS CARREÑO 
S.L",,2 MESES,SERVICIO,
,"Servicio de vigilancia ambiental 
correspondiente al dragado de 
mantenimiento de calados del 
puerto de Candás","17.484,50 €","14.450,00 €","BIOSFERA CONSULTORIA 
MEDIOAMBIENTAL, SL",,3 MESES,SERVICIO,
,"Suministro de rifles con destino
al
Servicio
de
Agentes
Medioambientales","2.666,51 €","2.203,73 €","BORCHERS, S.A.",,3 meses,Suministro,
,"SEGURO DRON 
TOPOGRAFICO","203,76 €","203,76 €","CAJA DE SEGUROS 
REUNIDOS COMPAÑÍA 
DE SEGUROS Y 
REASEGUROS, S.A.",,"DOCE(12) 
MESES",SERVICIO,
,"Servicio de rematriculación de 
tres  camiones quitanieves 
cedidos por la dirección general 
de carreteras del ministerio de 
transportes y movilidad 
sostenible a la dirección 
general de infraestructuras","4.598,00 €","3.800,00 €","CARMEN MIRALLES 
GÓMEZ",,4 MESES,SERVICIO,
,"Suministro de repuestos y 
componentes consumibles para 
los equipos desbrozadores 
instalados en los tractores 
adscritos al servicio de 
explotación de carreteras","3.630,00 €","3.000,00 €",CASLI S.L,,7 MESES,SUMINISTRO,
,"Adquisición de estufa de 
secado con ventilación de aire 
forzado de 216 litros de 
capacidad","4.575,19 €","3.781,15 €",CHEMLABOR S.L.,,2 MESES,SUMINISTRO,
