NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Alquiler e instalación medios audiovisuales 33 MAPPA,"816,75 €","675,00 €","Alquivisuales, S.L.",,"Del 6 de octubre al 11 de diciembre 
de 2023",Suministro,
,Suministro de papel para diplomas de ocio y tiempo libre,"26,02 €","21,50 €","Comercial Manuel Urones, S.L.",,5 días hábiles,Suministro,
,"Rodaje y postproducción del film documental ""Tres hombres 
no pueden ocultarse bajo la tapa de un puchero""","17.496,00 €","14.459,50 €",Esbilla Diseño S.L,,"Del 8 de agosto al
20 de diciembre de 2023",Servicio,
,Interpretación de enlace o acompañamiento alemán/ español,"330,00 €","399,30 €",Fee Rieger,,18 de julio del 2023,Servicio,
,Suministro de material de imprenta (hojas de reclamaciones),"988,57 €","817,00 €",Gráficas Walfer S.L.,,30 días,Suministro,
,Servicio de reparación de vehículo,"69,00 €","83,49 €",Javier Prieto Suárez,,5 días,Servicio,
,"Comisariado y elaboración de contenidos para la exposición de
Andrea de la Rubia Gómez-Morán, ganadora del Premio 
Asturias Joven de Artes Plásticas 2022","1.100,00 €","1.100,00 € 
(Exento de IVA)",José Antonio Vertedor Romero,,Hasta el 22 de diciembre de 2023,Servicio,
,"Servicio de transporte, montaje e iluminación de las obras 
integrantes del CNAL","2.299,00 €","1.900,00 €",José Ramón Alonso Flórez,,"Del 4 de septiembre al 2 de octubre 
de 2023",Servicio,
,"Instalación artística sobre la exhumación de las fosas comunes 
de Parasimón","16.819,00 €","13.900,00 €",Juan José Palacios Martínez,,"Del 3 de agosto al 15 de diciembre 
de 2023",Servicio,
,Póliza de seguro de cargadores 33 MAPPA,"270,38 €","270,38 €","MAPFRE España, Compañía de Seguros y Reaseguros, S.A.",,"Del 4 de octubre al 12 de diciembre 
de 2023",Servicio,
,Transporte y montaje de la 33 MAPPA,"10.648,00 €","8.800,00 €",Pablo Alba Sánchez,,"Del 2 de octubre hasta el 11 de 
diciembre de 2023",Servicio,
,Suministro de marcos y enmarcación 33 MAPPA,"1.222,78 €","1.010,56 €",Pedro García Durán,,Hasta el 4 de octubre de 2023,Mixto,
,Suministro de almacenamiento RGA,"209,40 €","173,06 €",Sistemas SC Astur,,15 días,Suministro,
,Reparación de escáner EPSON EXPRESSION 11000 XL,"152,46 €","126,00 €",SIVSA Soluciones Informáticas S.A.U.,,10 días laborables,Servicio,
,44 Stolpersteine (piedra/adoquín de la memoria),"5.808,00 €","5.808,00 € 
(Exento de IVA)",Stiftung-Spuren-Gunter Demnig,,Del 19 al 24 de julio de 2023,Suministro,
,Póliza de seguro de cargadores CNAL,"432,60 €","432,60 €",XL Insurance Company SE Sucursal en España,,"Del 4 de septiembre al 2 de octubre 
de 2023",Servicio,
