NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Puesta en servicio, revisión y mantenimiento de los sistemas de protección 
activa contra incencios de la sede de la Dirección General de Juventud.","780,45 €","645,00 €","Adober Electricidad, S.L.",,1 año,Servicios,
,"Servicio de transporte, montaje y almacenamiento de las obras integrantes de 
la 35 Muestra de Artes Plásticas del Principado de Asturias","13.794,00 €","11.400,00 €",Alejandro Alba Sánchez,,"Desde el 19 de septiembre de 2025 hasta el 3 de marzo de 
2026",Servicios,
,"Suministro de marcos y enmarcación de las obras integrantes de la 35 
Muestra de Artes Plásticas del Principado de Asturias","1.347,94 €","1.114,00 €",Aránzazu Osoro García,,5 días,Suministro,
,Certificación del cableado de red de la sede de la DG Juventud.,"464,40 €","383,80 €","Asvitel Sistemas, S.L.",,5 días,Servicios,
,Arrendamiento sin opción de compra de dos vehículos,"13.794,00 €","11.400,00 €",AT CAPITAL SOCIEDAD LIMITADA,,12 meses,Suministro,
,Organización del I Foro Internacional de Vivienda Colaborativa,"15.342,80 €","12.680,00 €",Azul Congresos S.L.,,Del 7 al 9 de noviembre,Servicios,
,Suministro de dos micrófonos inalámbricos de solapa,"268,89 €","222,22 €","Camaralia Video Profesional, S.L",,,Suministro,
,"Servicios para la preparación, la organización y desarrollo del ciclo de 
jornadas denominadas “Foro por una Transición Ecosocial Justa”","12.705,00 €","10.500,00 €",Candela Guerrero Suárez,,31/12/2025,Servicios,
,"Servicio de organización de los eventos consistentes en la inauguración de la 
nueva sede del IAJ y del concierto de Lorena Lawns durante la Noche Blanca 
de Oviedo","10.345,50 €","8.550,00 €","Casbah Producciones, S.L.",,2 días,Servicios,
,Catering Jornada Novedades Código Técnico,"1.215,50 €","1.105,00 €",Catering Malena S.L.,,1 día,Servicio,
,"Servicio de catering para la inauguración de la 34 MAPPA en la localidad de 
Madrid.","1.578,50 €","1.435,00 €","Causas Cear, S.L.",,1 día,Servicios,
,"Diseño, suministro e instalación de la identificación gráfica exterior y 
suministro de señalizaciones interiores del Instituto Asturiano de la Juventud","10.611,70 €","8.770,00 €","Cizero Digital, S.L.",,"Desde el día siguiente al de la adjudicación hasta el 
31/10/2025",Servicios,
,"Publicidad para la difusión y promoción de la Agenda 2030, en el suplemento 
a elaborar y difundir publicado el día 31 de julio de 2025, en el diario El 
Comercio - La Voz de Avilés","2.420,00 €","2.000,00 €",Comercializadora de Medios de Asturias S.L.,,31/07/2025,Servicios,
,Dispositivo ensayos de tracción indirecta,"1.542,75 €","1.275,00 €",Equipos de ensayo normalizados Normatest S.L.,,60 días,Suministro,
,Suministro e instalación de raíles electrificados para la Sala Borrón.,"12.753,40 €","10.540,00 €",Ezequiel Adrián Pérez Becerra,,"Desde el día siguiente al de la adjudicación del contrato 
hasta el 5 de septiembre de 2025",Mixo suministro/servicios,
,"Servicio de lengua de signos para personas con discapacidad auditiva, para 
las jornadas a realizar hasta final de 2025","8.470,00 €","7.000,00 €","Federación de personas sordas del Principado de 
Asturias",,Hasta 31/12/2025,Servicios,
,Etiquetas para identificación de probetas,"169,40 €","140,00 €",Fotomecánica Principado S.L.,,60 días,Suministro,
,"Patrocinio del “XII ENCUENTRO INTERNACIONAL SOBRE 
INVESTIGACIONES DEL FRANQUISMO”","14.875,00 €","14.875,00 €",Fundación Juan Muñiz Zapico,,07/07/2025 a 28/11/2025,Servicios,
,"Suministro de libros para atención protocolaria en las Jornadas Ibéricas de 
Infraestructura de Datos Espaciales 2025","1.189,86 €","1.144,10 €","Gijón Central Libros, S.L.",,15 días,Suministro,
,"Suministro e instalación de un sistema anti-intrusión y servicio de 
mantenimiento, conexión a central receptora de alarmas y acuda con custodia 
de llaves para la sede de la D.G. Juventud","4.356,00 €","3.600,00 €","Investigación y Desarrollo en Seguridad, S.L.",,1 año,Mixto suministro/servicios,
,"Instalación del cableado del sistema de videovigilancia de la sede de la DG 
Juventud","1.936,00 €","1.600,00 €","Investigación y Desarrollo en Seguridad, S.L.",,"Desde el día siguiente al de la adjudicación hasta el 12 de 
septiembre de 2025",Servicios,
,"Obras de señalización y acondicionamiento de caminos para tramo de senda 
peatonal alternativo en la senda costera El Tranqueru. Carreño","35.753,74 €","29.548,54 €",Iván Areces Fenández,,1 mes,Obra,
,"Servicio de limpieza general y de limpieza de repaso de la nueva sede de la 
DG Juventud","3.899,83 €","3.223,00 €","Limpiezas Oliveira, S.L.",,"Desde el día siguiente al de la adjudicación hasta el 31 de 
octubre de 2026",Servicios,
,Limpieza de la sede de la DG Juventud,"16.800,00 €","13.884,30 €","Limpiezas Oliveira, S.L.",,6 meses,Servicios,
,"Póliza de seguro de transporte y ""clavo a clavo"" para las obras integrantes de 
la 35 Muestra de Artes Plásticas del Principado de Asturias.","907,50 €","750,00 €","MAPFRE España Compañía de Seguros y 
Reaseguros, S.A.",,"Desde el día 22 de septiembre de 2025 hasta el día 30 de 
abril de 2026",Servicios,
,"Patrocinio publicitario de la edición 2025 del evento tecnológico “CometCon”. 
Gijón","15.391,20 €","12.720,00 €",Nimby Eventos S.L.,,Del 5 al 7 de septiembre,Servicios,
,Comida Jornada Novedades Código Técnico,"618,75 €","562,50 €",R. del Arco S.L.,,1 día,Servicio,
,Material de diverso consumo,"1.485,69 €","1.227,84 €",Rayma Suministros Industriales S.L.,,60 días,Suministro,
,"Patrocinio publicitario de la edición 2025 del evento “Encuentro Internacional 
de Fotoperiodismo de Asturias”, Gijón","11.737,00 €","9.700,00 €","Red Internacional B-LIVE,",,Del 1 al 3 de octubre,Servicios,
,"Interpretación simultánea español-inglés-español, para las jornadas a realizar 
hasta final de 2025 por la Dirección General Agenda 2030 en el marco de la 
conmemoración “10 años Agenda 2030""","8.286,08 €","6.848,00 €",Rodrigo Díaz Núñez,,Hasta 31/12/2025,Servicios,
,"Contratación campaña de comunicación para la promoción y difusión del 
programa de actividades de la Dirección General Agenda 2030 dentro del 
marco de conmemoración de los “10 Años de Agenda 2030”","17.983,63 €","14.862,50 €",Ruralismo Ilustrado S.L.,,Hasta 31/12/2025,Servicios,
,"Preparación, organización y desarrollo de la Jornada denominada 
“Defensoras del Territorio: Transitando hacia el cumplimiento de los Derechos 
Humanos y la Paz en Colombia”, Oviedo","11.797,50 €","9.750,00 €",Soldepaz Pachakuti,,10/09/2025,Servicios,
,Elaboración e instalación de Placa conmemorativa Puerto de Tarna,"1.149,50 €","950,00 €","Trofeos Toni, S.L",,04/09/2025 a 30/09/2025,Suministro,
,"Organanización acto institucional Día de la Memoria Democrática en el 
Principado de Asturias 23/IX-2025  en Arriondas (Parres)","8.000,52 €","6.612,00 €",U EVENTS SC,,18/09/2025 a 23/092025,Servicios,
,Suministro de maletín para ordenador portátil,"44,43 €","36,72 €",Victor Núñez Fernández,,,Suministro,
