NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
DECO/2023/27090,Alquiler e instalación medios audiovisuales 33 MAPPA.,"816,75 €","675,00 €","Alquivisuales, S.L.",B33474719,"Desde el 6 de octubre hasta 
el 11 de diciembre de 2023.",SUMINISTRO,"[{""column"": ""Dirección General"", ""value"": ""Juventud""}, {""column"": ""Fecha de adjudicación"", ""value"": ""26/09/2023""}]"
CONP/2023/10819,"Servicio para el suministro e instalación de Quemador de
gasóleo de caldera de la Sede Judicial de Pola de Siero","2.178,00 €","1.800,00 €",ASTURCAL S.L.,B33207309,20 días laborables,SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""Viceconsejería de \nJusticia""}, {""column"": ""Fecha de adjudicación"", ""value"": ""25/09/2023""}]"
Conp/2023/10205,"Servicio de vigilancia y seguridad en el Edificio Administrativo de Avilés y 
el servicio de conexión a central receptora de alarmas, custodia de llaves 
y acuda en la Escuela de Emprendedoras y Empresarias de Asturias","3.327,02","2.749,60","Asturiana de Seguridad 
y Protección , S.L.",B74381526,"Entre el 1/09/2023 y la fecha 
de entrada en vigor del nuevo 
contrato, máx. hasta el 
30/09/2023",SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""Seguridad y Estrategia \nDigital""}, {""column"": ""Fecha de adjudicación"", ""value"": ""31/08/2023""}]"
Conp/2023/10807,"Servicio de vigilancia y seguridad en las instalaciones del Servicio de 
Emergencias del Principado de Asturias sito en la Morgal, Llanera","16.384,37","13.540,80","Asturiana de Seguridad 
y Protección , S.L.",B74381526,"Entre el 1/10/2023 y la fecha 
de entrada en vigor del nuevo 
contrato, máx. hasta el 
31/10/2023",SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""Seguridad y Estrategia \nDigital""}, {""column"": ""Fecha de adjudicación"", ""value"": ""18/09/2023""}]"
CONP/2023/10865,Lote 1 - Servicio de restauración en formato catering-desayuno,"415,80 €","378,00 €","Balbona Pasteleros, SA",A33642018,1 día,SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""Emigración y Políticas de \nRetorno""}, {""column"": ""Fecha de adjudicación"", ""value"": ""29/09/2023""}]"
CONP/2023/6296,Reparación de camino interior en Piñera (Ibias),"32.723,03 €","27.043,83 €","CONSTRUCCIONES Y 
EXCAV. ARTURO 
MESA, S.L.",B74177874,DOS (2) MESES,OBRA,"[{""column"": ""Dirección General"", ""value"": ""Dirección General de \nAdministración Local""}, {""column"": ""Fecha de adjudicación"", ""value"": ""31/07/2023""}]"
CONP/2023/9990,"MANTENIMIENTO INTEGRAL (CORRECTIVO, PREVENTIVO, 
ADAPTATIVO Y EVOLUTIVO) DE LOS MÓDULOS DE GESTIÓN DE 
PERSONAL Y ESTRUCTURA ORGANIZATIVA (SAP RRHH) EN EL 
ÁMBITO DEL SESPA","18.149,87","14.999,89","DELOITTE 
CONSULTING, SLU",B81690471,4 MESES,SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""SEGURIDAD Y \nESTRATEGIA DIGITAL""}, {""column"": ""Fecha de adjudicación"", ""value"": ""21/08/2023""}]"
CONP/2023/5912,"MANTENIMIENTO INTEGRAL (CORRECTIVO, PREVENTIVO, 
ADAPTATIVO Y EVOLUTIVO) DE LOS MÓDULOS DE GESTIÓN DE 
NÓMINA Y TIEMPOS (SAP RRHH) EN EL ÁMBITO DEL SESPA","18.149,87","14.999,89","DELOITTE 
CONSULTING, SLU",B81690471,4 MESES,SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""SEGURIDAD Y \nESTRATEGIA DIGITAL""}, {""column"": ""Fecha de adjudicación"", ""value"": ""21/08/2023""}]"
CONP/2023/8081,"Suministro de carrito de transporte, papelera y paragüero para uso del 
personal del BOPA","133,61 €","110,42 €",DIADAL SL,B33632761,Del 13 al 28 de julio,SUMINISTRO,"[{""column"": ""Dirección General"", ""value"": ""GOBERNANZA \nPÚBLICA, \nTRANSPARENCIA, \nPARTICIPACIÓN \nCIUDADANA Y \nAGENDA 2030""}, {""column"": ""Fecha de adjudicación"", ""value"": ""13/07/2023""}]"
CONP/2023/8190,"Servicio de realización de ensayo de estanqueidad Door
Fan Test en el Palacio de Valdecarzana, sede del Tribunal Superior de 
Justicia de Asturias","1.929,95 €","1.595,00 €","EBUILDING, EDIFICIOS 
EFICIENTES SL",B86676053,20 días laborables,SERVICIO,"[{""column"": ""Dirección General"", ""value"": ""Viceconsejería de \nJusticia""}, {""column"": ""Fecha de adjudicación"", ""value"": ""05/07/2023""}]"
