NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
1,Mantenimiento vehículo matrícula 4020-KHG,"256,13 €","211,68 €","ABELARDO DE ANTÓN 
FREITAS",***3561**,2 días,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/2436""}, {""column"": ""Dirección General"", ""value"": ""VICECONSEJERÍA \nDE MEDIO AMBIENTE""}, {""column"": ""Fecha de adjudicación"", ""value"": ""26/03/2025""}]"
2,"Realización del estudio de alternativas de la impulsión 
del bajo Nalón entre Pravia y Santianes para evitar 
las afecciones del río Nalón (Pravia)","17.908,00 €","14.800,00 €","ABSIDE ASTURIANA
OCCIDENTAL 
CONSULTORES, SAL",A33580036,un mes,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/1348""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""04/03/2025""}]"
3,"Auditoría de gestión del Consorcio del Recinto de 
Ferias y Exposiciones de Asturias","15.488,00 €","12.800,00 €","CENTIUM AUDITORES, 
S.L.",B33585035,2 meses,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/952""}, {""column"": ""Dirección General"", ""value"": ""SECRETARÍA \nGENERAL TÉCNICA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""21/02/2025""}]"
4,"Coordinación de seguridad y salud de las  obras de 
eliminación de infiltraciones en colector y sistemas de 
monitorización en la zona del puerto de Ribadesella, 
en el marco del Plan de Recuperación, 
Transformación y Resiliencia","3.018,95 €","2.495,00 €","INTEGRA INGENIERÍA 
S.L.",B74034620,"12 
semanas",Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2024/4311""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""11/10/2024""}]"
5,"Catering para la jornada del comité de expertos de 
agua regenerada para uso industrial","610,50 €","504,55 €",LIDER CONGRESOS S.L,B74203027,1 día,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/1537""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""25/02/2025""}]"
6,"Póliza de seguro de responsabilidad civil frente a 
terceros para aeronaves tripuladas (UAS)","818,70 €","676,61 €",MAPFRE ESPAÑA S.A.,A28141935,1 año,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/1962""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""13/03/2025""}]"
7,"Asistencia técnica especializada a la Subdirección 
General de Cambio Climático y Economía Circular 
para la redacción de las bases reguladoras para la 
concesión de subvenciones, elaboración de la 
convocatoria correspondiente y creación de guía 
metodológica sobre la aplicación del principio Climate 
Proofing","17.569,20 €","14.520,00 €","MAXIM INVEST 
SOLUTIONS, S.L.",B44873776,7 meses,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/2143""}, {""column"": ""Dirección General"", ""value"": ""VICECONSEJERÍA \nDE MEDIO AMBIENTE""}, {""column"": ""Fecha de adjudicación"", ""value"": ""19/03/2025""}]"
8,"Suscripción de 15 licencias anuales de Acrobat Pro 
(Acrobat Pro Subscrpt All Mlp License Subscription 
Mue)","4.719,00 €","3.900,00 €","SEIDOR TECH, SAU",A33204306,1 año,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2024/13494""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""13/03/2025""}]"
9,"Realización del estudio de alternativas del nuevo 
depósito de cabecera para la zona de Las Vegas, Los 
Campos y Trasona (Corvera)","17.847,50 €","14.750,00 €","SIRME INGENIERIA, S.L.",B74455270,1 mes,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/1398""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""04/03/2025""}]"
10,"Coordinación de seguridad y salud de las  obras de 
mejora de la turbibez en la toma del depósito de Coya 
(Piloña)","2.662,00 €","2.200,00 €","TECNICA Y PAISAJE
 INGENIERIA, S.L.",B74393943,2 meses,Servicios,"[{""column"": ""Expediente contratación"", ""value"": ""CONP/2025/1468""}, {""column"": ""Dirección General"", ""value"": ""DIRECCIÓN \nGENERAL DEL AGUA""}, {""column"": ""Fecha de adjudicación"", ""value"": ""17/03/2025""}]"
