NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2022/3119,RENOVACIÓN ALARMA,"20.524,02 €",,ADOBER ELECTRICIDAD SL,B33650490,1 día,Obras,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""22/133""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2022/7560,MANTENIMIENTO ERAFACT,"16.940,00 €",,SISTEMAS DISTRIBUIDOS DEL PRINCIPADO S.L.,B74232521,1 día,Servicios,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""22/180""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2022/11138,MOTORES CAMA,"2.066,45 €",,AYUDAS AL BIENESTAR SL,B74160219,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""22/229""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/752,MATERIAL TERAPIA OCUPACIONAL,"416,56 €",,ASTURPRO SL,B33362195,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/002""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/1103,AUTOCLAVES,"4.746,29 €",,ELIN MÉDICA SL,B48505101,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/006""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/1177,TRAPECIOS ELEVADORES PARA CAMA CON CARRO ELEVADOR,"983,13 €",,AYUDAS AL BIENESTAR SL,B74160219,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/007""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/576,COORDINACIÓN DE SEGURIDAD Y SALUD para las obras de Instalación de líneas de vidaNORVALIA SOLUCIONES MULTISERVICIOS SL,"5.200,58 €",,,B27479476,1 día,Servicios,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/010""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/595,MENAJE CAFETERÍA,"1.193,83 €",,PRODUCTOS AUXILIARES MAPARE S.L.,B74116641,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/011""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/600,COLCHONETAS ANTICAÍDA,"635,25 €",,AYUDAS AL BIENESTAR SL,B74160219,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/012""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
CONP/2023/651,MATERIAL ELÉCTRICO,"8.627,14 €",,MATERIALES ELÉCTRICOS AL POR MAYOR SL (MAPRISE),B33025123,1 día,Suministros,"[{""column"": ""Año"", ""value"": ""2023""}, {""column"": ""REFERENCIA INTERNA CONTRATO MENOR"", ""value"": ""23/013""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO LICITACIÓN"", ""value"": ""MENOR""}]"
