NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Servicio de internet en el nodo de 
Mieres","137,94 €",,"ADAMO TELECOM IBERIA, 
S.A.",,Tres meses,Servicios,
,"Máquina de agua (cooler) cuota 
mensual","38,72 €",,CULLIGAN WATER SPAIN S.L.,,Tres meses,Servicios,
,"Suministro de dieciocho (18) 
unidades de Batería monobloque 
12V 100FC (100 AH, 12 años de 
vida), ocho (8) unidades de Batería 
monobloque 12V 190F (190 AH, 12 
años de vida), cinco (5) unidades de 
Batería monobloque 12V 101F (101 
AH, 12 años de vida), ocho (8) 
unidades de Batería monobloque 
12V 155FS (155 AH, 12 años de vida), 
y tres (3) Batería monobloque 
MARATHON EXIDE L2V -575.","12.173,33 €",,"DELTA ELECTRONICS 
SOLUTIONS (SPAIN), S.L.",,Tres meses,Suministros,
,"Trámites poderes nuevo Consejo de 
Administración","511,88 €",,MANUEL J. TUERO TUERO,,Inmediato,Servicios,
,"Servicio de alarma de oficina de GIT 
y nodo de Mieres","525,33 €",,"MOVISTAR PROSEGUR 
ALARMAS, S.L.",,Tres meses,Servicios,
,"Preparación, redacción y 
presentación de 
demanda declarativa y de condena 
ante el Juzgado de Primera 
Instancia en reclamación de 
cantidad","17.908,00 €",,"ONTIER ESPAÑA, S.L.",,Un año,Servicios,
,"Patrocinio del evento AsturCON.tech 
II edición","1.815,00 €",,"ORGANIZACIÓN PARA LA 
INVESTIGACIÓN EN 
CIBERSEGURIDAD OFENSIVA 
(ORICIO)",,Dos días,Servicios,
,"Trámites poderes nuevo Consejo de 
Administración","441,38 €",,"REGISTRO MERCANTIL DE 
ASTURIAS",,Inmediato,Servicios,
,Combustible,"67,28 €",,"SOLRED, S.A.",,Tres meses,Suministro,
,Renting equipo multifunción,"525,06 €",,"XEROX ESPAÑA, S.A.U.",,Tres meses,Suministro,
