NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,,,,,,,,
,,,,,,,,"[{""column"": """", ""value"": ""Actuación \ncomo \ndel Cuarteto Quiroga \nsolistas invitados en el recital \""Miguel de \nCervantes \nin memoriam\"" perteneciente al \nOSPA Fest: Books Folixa Music de \nla \ntemporada 2022-23 de la OSPA""}, {""column"": """", ""value"": ""Actuación \ncomo \ndel Cuarteto Quiroga \nsolistas invitados en el recital \""Miguel de \nCervantes \nin memoriam\"" perteneciente al \nOSPA Fest: Books Folixa Music de \nla \ntemporada 2022-23 de la OSPA""}, {""column"": """", ""value"": ""Actuación \ncomo \ndel Cuarteto Quiroga \nsolistas invitados en el recital \""Miguel de \nCervantes \nin memoriam\"" perteneciente al \nOSPA Fest: Books Folixa Music de \nla \ntemporada 2022-23 de la OSPA""}, {""column"": """", ""value"": ""Actuación \ncomo \ndel Cuarteto Quiroga \nsolistas invitados en el recital \""Miguel de \nCervantes \nin memoriam\"" perteneciente al \nOSPA Fest: Books Folixa Music de \nla \ntemporada 2022-23 de la OSPA""}]"
,,,,,,,,"[{""column"": """", ""value"": ""Actuación \nJoanna Wronko \ncomo \nde \n2.970,00€ \nJoanna Agnieszka Wronko \nconcertino invitada en el Concierto de Abono \nX de la temporada 2022-23 de la OSPA. \nActuación de Rubén Díez como director \ninvitado en el Concierto Extraordinario de la \n3.300,00€ \nRubén Díez Fernández \nSelmana de \nles Lletres \n de \nla \ntemporada \n2022-23 de la OSPA. \nActuación de Cristina Langa como regidora \n770,00€ \n Cristina Langa Menéndez \nen el Concierto Extraordinario de la Selmana""}, {""column"": """", ""value"": ""Actuación \nJoanna Wronko \ncomo \nde \n2.970,00€ \nJoanna Agnieszka Wronko \nconcertino invitada en el Concierto de Abono \nX de la temporada 2022-23 de la OSPA. \nActuación de Rubén Díez como director \ninvitado en el Concierto Extraordinario de la \n3.300,00€ \nRubén Díez Fernández \nSelmana de \nles Lletres \n de \nla \ntemporada \n2022-23 de la OSPA. \nActuación de Cristina Langa como regidora \n770,00€ \n Cristina Langa Menéndez \nen el Concierto Extraordinario de la Selmana""}, {""column"": """", ""value"": ""Actuación \nJoanna Wronko \ncomo \nde \n2.970,00€ \nJoanna Agnieszka Wronko \nconcertino invitada en el Concierto de Abono \nX de la temporada 2022-23 de la OSPA. \nActuación de Rubén Díez como director \ninvitado en el Concierto Extraordinario de la \n3.300,00€ \nRubén Díez Fernández \nSelmana de \nles Lletres \n de \nla \ntemporada \n2022-23 de la OSPA. \nActuación de Cristina Langa como regidora \n770,00€ \n Cristina Langa Menéndez \nen el Concierto Extraordinario de la Selmana""}, {""column"": """", ""value"": ""Actuación \nJoanna Wronko \ncomo \nde \n2.970,00€ \nJoanna Agnieszka Wronko \nconcertino invitada en el Concierto de Abono \nX de la temporada 2022-23 de la OSPA. \nActuación de Rubén Díez como director \ninvitado en el Concierto Extraordinario de la \n3.300,00€ \nRubén Díez Fernández \nSelmana de \nles Lletres \n de \nla \ntemporada \n2022-23 de la OSPA. \nActuación de Cristina Langa como regidora \n770,00€ \n Cristina Langa Menéndez \nen el Concierto Extraordinario de la Selmana""}]"
,"Contratación de material de alquiler Danzas 
de Don Quijote/ Gerhard, Roberto; Romeo y 
Julieta suites 1, 2 y 3/ Prokofieff, Serge 
(Abono X – Musica est litterae II, temporada 
2022-23).","3.957,80€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
,,,,,,,,
,"Contratación de material de alquiler Suite i 
malten stil for chamber orchestra/ Schnittke, 
Alfred – Spiwakow, W. – Milman, V. 
(Abono XI – El pasado recobrado, temporada 
2022-23).","1.759,23€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
,,,,,,,,
,"Contratación de material de alquiler Sinfonía 
no.5, op.100/ Prokofieff, Serge; Concierto 
para violín no.1, op.19/ Prokofieff, Serge 
(Abono XIII – Música en tiempos de guerra, 
temporada 2022-23).","5775,15€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
,,,,,,,,
,"Contratación 
de 
material 
de 
alquiler 
Concierto 
para 
orquesta/ Bartók. Bela; 
Concierto 
para piano 
y 
orquesta 
no.3/ 
Rachmaninoff, 
Serge 
(Abono 
XIV 
– 
Nocturno sinfónico, temporada 2022-23).","4.212,22€",,"MONGE 
Y 
BOCETA 
ASOCIADOS 
MUSICALES S.L.",,,,
