NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2025/1810,"SUSCRIPCIÓN A LA BASE DE DATOS DE 
NOTICIAS (TELETIPOS) DE LA AGENCIA EFE S.A. 
S.M.E","108.014,28 €","89.268,00 €","AGENCIA EFE S.A. 
S.M.E.",A28028744,"12 MESES (desde 
12/04/2025)",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""27/02/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR *D.Adicional Novena LCSP \n(contrato de acceso a bases de datos y \nsuscripción a publicaciones tramitado \ncomo menor)""}]"
CONP/2025/1809,"SUSCRIPCIÓN A LA BASE DE DATOS DE 
NOTICIAS (TELETIPOS) DE LA AGENCIA EUROPA 
PRESS S.A.","108.014,28 €","89.268,00 €","AGENCIA EUROPA 
PRESS S.A",A41606534,"12 MESES (desde 
12/04/2025)",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""27/02/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR *D.Adicional Novena LCSP \n(contrato de acceso a bases de datos y \nsuscripción a publicaciones tramitado \ncomo menor)""}]"
CONP/2025/995,"PATROCINIO DE LOS EVENTOS 
CONMEMORATIVOS DEL 30 ANIVERSARIO DE 
ELCOMERCIO.ES","18.147,58 €","14.998,00 €","COMERCIALIZADORA 
DE 
MEDIOS DE ASTURIAS",B33913120,"Fin ejecución: 
30/12/2025",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""06/02/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/2459,"DIFUSIÓN PUBLICITARIA EN EL DIARIO DIGITAL 
""ELPLURAL.COM""","12.100,00 €","10.000,00 €","CORPORATE 
COMMUNICATOR S.L,",B84262591,4 MESES,SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""19/03/2025""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/1084,"PATROCINIO DE LA GUÍA DE ESTUDIOS DEL 
PRINCIPADO DE ASTURIAS","15.000,37 €","12.397,00 €","EDICIONES 
PERIÓDICAS DEL 
NOROESTE SLU",B52512464,"Fin ejecución 
31/05/2025",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""12/02/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/2343,"PATROCINIO DE UN JUEGO INTERACTIVO 
SOBRE EL CAMINO DE SANTIAGO PRIMITIVO","14.883,00 €","12.300,00 €","EDICIONES 
PERIÓDICAS DEL 
NOROESTE SLU",B52512464,"Fin ejecución 
31/05/2025",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""19/03/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/2786,"PATROCINIO DEL ACTO DE PRESENTACIÓN DEL 
MICROSITE VERTICAL DE ECONOMÍA Y 
EMPRESA ""ACTIVOS""","2.420,00 €","2.000,00 €","EDITORIAL PRENSA 
ASTURIANA SAU",A33052283,25/03/2025,SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""21/03/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/1622,"PATROCINIO DEL PROYECTO EDITORIAL ""EL 
RENACER DE LAS COMARCAS MINERAS""","18.029,00 €","14.900,00 €",EDITORIAL PRENSA ASTURIANA SAU,,"Fin Ejecución 
31/12/2025",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""21/02/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/1881,"PRODUCTOS CONSUMIBLES DE ALIMENTACIÓN 
Y LIMPIEZA","548,94 €","453,67 €","EL CORTE INGLÉS, SA",A28017895,15 DIAS,SUMINISTRO,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""10/03/2025""}, {""column"": ""PYME"", ""value"": ""NO""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
CONP/2025/2315,"DIFUSIÓN PUBLICITARIA EN LA PUBLICACIÓN 
DIGITAL EXTRADIGITAL","2.420,00 €","2.000,00 €","EXTRADIGITAL, S.L",B42957688,"Fin ejecución 
31/12/2025",SERVICIOS,"[{""column"": ""Dirección General"", ""value"": ""PRESIDENCIA DEL \nPRINCIPADO""}, {""column"": ""Fecha de adjudicación"", ""value"": ""19/03/2025""}, {""column"": ""PYME"", ""value"": ""SI""}, {""column"": ""PROCEDIMIENTO DE LICITACION"", ""value"": ""MENOR""}]"
