NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,SIEMENS 16/10 A 15/11 DE 2025,"65,22 €",,"SIEMENS FINANCIAL SERVICES, SAU",A81440786,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,SIEMENS 16/11 A 15/12/2025,"65,22 €",,"SIEMENS FINANCIAL SERVICES, SAU",A81440786,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,SIEMENS 16/12 A 15/01/2025,"65,22 €",,"SIEMENS FINANCIAL SERVICES, SAU",A81440786,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,REPARACIÓN CALDERA RIDEA 2025,"1.512,38 €",,JONGAS MANTENIMIENTOS SL,B33892894,1 DÍA,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,SUSTITUCIÓN VENTILADOR CALDERA RIDEA 2025,"1.248,79 €",,JONGAS MANTENIMIENTOS SL,B33892894,1 DÍA,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,CUOTA 3.º T ASCENSORES TRESA,"408,62 €",,ASCENSORES TRESA SA,A33622937,3 MESES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,REVISIÓN EXTINTORES EL PALACIO 2025,"319,44 €",,EXTINTORES ZEMER SL,B33071192,1 AÑO,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,SUST. CORREA TRANS. TRESA,"239,70 €",,ASCENSORES TRESA SA,A33622937,1 DÍA,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,REVISIÓN EXTINTORES LAS CAMPAS 2025,"125,84 €",,EXTINTORES ZEMER SL,B33071192,1 AÑO,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,INSPECCIÓN PERIÓDICA ASCENSOR 2025,"84,70 €",,"AB AUCATEL INSPECCION Y CONTROL,",B63817191,2 AÑOS,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,MANT. FCOP. 20/9 A 21/10/2025,"128,13 €",,SOLITIUM SL,B50570571,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,Mant. fcop. 22/10 a 19/11/2025,"107,00 €",,SOLITIUM SL,B50570571,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,MANT. FCOP. 19/11 A 9/12/2025,"72,65 €",,SOLITIUM SL,B50570571,1 MES,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,BASER 4/10 A 4/11/2025,"19,64 €",,BASER COMERCIALIZADORA,A74251836,1 MES,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,BASER 4/8 A 4/9/2025,"19,49 €",,BASER COMERCIALIZADORA,A74251836,1 MES,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,BASER 4/9 A 4/10/2025,"17,67 €",,BASER COMERCIALIZADORA,A74251836,1 MES,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,INSTALACIÓN FOCOS LED SALÓN DE ACTOS RIDEA,"4.954,85 €",,VARESER 96 SL,B96534805,1 MES,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,FERRETERIA 30/9/2025,"95,18 €",,ASTURPESO SL,B33397308,1 DÍA,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,SELLO MADERA R25 PARA BIBLIOTECA RIDEA,"14,35 €",,TUKAN SOMOS IMPRESORES SLL,B74429002,1 DÍA,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,COMPOSICIÓN E IMPRESIÓN DIPLOMA MIEMBRO NÚMERO,"3,84 €",,TUKAN SOMOS IMPRESORES SLL,B74429002,1 DÍA,Suministros,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
,LA JUSTICIA MILITAR EN LA II REPÚBLICA,"2.849,60 €",,IMPRENTA GOFER SL,B33022542,60 DÍAS,Servicios,"[{""column"": ""Órgano Gestor"", ""value"": ""RIDEA""}]"
