NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"ESPÉCULO ÓTICO DESECHABLE TIPO HEINE 2,5MM.","43,56 €",,AB MEDICA GROUP SA,,1 DÍA,,
,"ESPÉCULO ÓTICO DESECHABLE TIPO RIESTER 2,5MM.REF.02060","108,9 €",,AB MEDICA GROUP SA,,1 DÍA,,
,ESPÉCULO ÓTICO DESECHABLE TIPO RIESTER 4MM.REF. 02062,"130,68 €",,AB MEDICA GROUP SA,,1 DÍA,,
,"ESPÉCULO ÓTICO DESECHABLE TIPO WELCHALLYN 2,5MM","546,13 €",,AB MEDICA GROUP SA,,1 DÍA,,
,"ESPÉCULO ÓTICO DESECHABLE TIPO WELCHALLYN 2,5MM","546,13 €",,AB MEDICA GROUP SA,,1 DÍA,,
,PAPEL ECG TÉRMICO 112MMX30M,"53,24 €",,AB MEDICA GROUP SA,,1 DÍA,,
,PAPEL ECG TÉRMICO 112MMX30M,"53,24 €",,AB MEDICA GROUP SA,,1 DÍA,,
,PAPEL ECG TÉRMICO 112MMX30M,"53,24 €",,AB MEDICA GROUP SA,,1 DÍA,,
,NE INSUF  RENAL DIALISIS 220ML VAINILLA,"356,13 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NE INSUF RENAL REDIALISIS 220ML VAINILLA,"908,22 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NE INSUF RENAL REDIALISIS 220ML VAINILLA,"726,57 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NE INSUF RENAL REDIALISIS 220ML VAINILLA,"726,57 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NUTRICIÓN ENTERAL HIPERPROTEICA NORMOCALÓRICA 500 ML,"362,56 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NUTRICIÓN ENTERAL HIPERPROTEICA NORMOCALÓRICA 500 ML,"362,56 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,NUTRICIÓN ENTERAL HIPERPROTEICA NORMOCALÓRICA 500 ML,"543,84 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,"NUTRICIÓN ENTERAL HIPERPROTEICA NORMOCALÓRICA 500 ML Y 
OTROS","2508,31 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,"SENSOR SUBCUTÁNEO MEDICIÓN CONTINUA GLUCOSA EN TIEMPO 
REAL LIBRE 3","479,16 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,"SENSOR SUBCUTÁNEO MEDICIÓN CONTINUA GLUCOSA EN TIEMPO 
REAL LIBRE 3","479,16 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,"SENSOR SUBCUTÁNEO MEDICIÓN CONTINUA GLUCOSA EN TIEMPO 
REAL LIBRE 3","479,16 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
,SIROLIMUS REAGENT KIT ALINITY,"2253,02 €",,ABBOTT LABORATORIES SA,,1 DÍA,,
