NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Mantenimiento equipos,"3.599,06 €",,ANTONIO MATACHANA SA,A08238578,12 meses,Servicios,
,Mantenimiento equipos,"3.635,58 €",,ANTONIO MATACHANA SA,A08238578,12 meses,Servicios,
,Mantenimiento ecocardiógrafo,"9.737,48 €",,PHILIPS IBERICA SA,A28017143,12 meses,Servicios,
,Mantenimiento equipos,"4.622,20 €",,GENERAL ELECTRIC HEALTHCARE ESPAÑA,A28061737,12 meses,Servicios,
,Mantenimiento equipos,"6.647,26 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento equipos,"6.647,26 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento ecógrafos,"5.275,60",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento incubadora,"1.523,33 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento paneles aislamiento eléctrico,"17.739,22 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,,Servicios,
,Mantenimiento equipos,"13.721,40 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,,Servicios,
,Mantenimiento equipos,"2.374,03 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento equipos,"1.411,22 €",,MANTENIMIENTO ELECTROMEDICO SA,A31116015,12 meses,Servicios,
,Mantenimiento cuna térmica,"1.107,15 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento monitor de transporte,"484,00 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento monitores signos vitales,"1.270,50 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento láser oftalmológico,"1.669,80 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento equipos,"4.235,00 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento equipos,"3.811,50 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento equipos,"1.633,51 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento arco quirúrgico,"4.870,25 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento videocolonoscopios,"7.562,50 €",,AGENOR MANTENIMIENTOS SA,A31568397,12 meses,Servicios,
,Mantenimiento equipos esterilización,"12.611,66 €",,SUMINISTROS MEDICO QUIRURGICOS SA,A33030610,,Servicios,
,"Tto. desinfección, desinsectación y desratización","482,79 €",,LACERA SERVICIOS Y MANTENIMIENTO SA,A33123498,12 meses,Servicios,
,Mantenimiento ascensores,"16.552,80 €",,SCHINDLER SA,A50001726,,Servicios,
,Mantenimiento SAI,"2.072,63 €",,EATON INDUSTRIES SPAIN SL,B31005150,12 meses,Servicios,
,Arrendamiento equipo multifunción,"301,29 €",,NEA F3 MASTER SL,B33532722,12 meses,Suministro,
