NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,Onda de choque radial para el Servicio de Rehabilitación del HVN,"18.143,95 €",,CORR MEDICAL SL.,,5 meses,SUMINISTRO,
,Equipo Diatermia para el Servicio de Rehabilitación del Hospital Valle del Nalón,"14.399,00 €",,PRIM SA SUMINISTROS MÉDICOS,,5 meses,SUMINISTRO,
,Equipo Terapia Láser para el Servicio de Rehabilitación del HVN,"18.143,95 €",,CORR MEDICAL SL.,,5 meses,SUMINISTRO,
,Equipo combinado de Electroterapia y Ultrasonidos para el Servicio de Rehabilitación del HVN,"2.291,58 €",,"DJO IBÉRICA PRODUCTOS ORTOPÉDICOS, S.L",,5 meses,SUMINISTRO,
,Sonda Convex para Ecógrafo Músculo Esquelético Canon Xario 100G,"7.860,06 €",,"CANON MÉDICAL SYSTEMS, SA",,3 meses y 15 días,SUMINISTRO,
,Bicicleta Ergométrica para el Servicio de Rehabilitación del HVN,"1.484,27 €",,"DJO IBÉRICA PRODUCTOS ORTOPÉDICOS, S.L",,5 meses,SUMINISTRO,
,Dos Equipos de Ultrasonidos para los Servicios de Fisioterapia del HVN y del C. S. de Pola de Laviana,"2.707,28 €",,"DJO IBÉRICA PRODUCTOS ORTOPÉDICOS, S.L",,5 meses y 23 días,SUMINISTRO,
,Monitor fetal que sirva tanto para anteparto como para intraparto para la sala de partos del HVN,"18.143,95 €",,DEXTRO MÉDICA SL,,3 mesesy 25 días,SUMINISTRO,
,Lámpara quirúrgica rodante para el quirófano nº 6 del Área Quirúrgica del HVN,"3.868,37 €",,"SUMINISTROS MÉDICO QUIRÚRGICOS, SA",,3 meses y 11 días,SUMINISTRO,
,Diez neveras para distintos Centros de Salud de Atención Primaria del Área Sanitaria VIII.,"13.237,40 €",,"GALMEDICA, SL",,3 meses,SUMINISTRO,
,Seis neveras de medicamentos para distintos centros de Atención Primaria del Área Sanitaria VIII.,"17.278,80 €",,"GALMEDICA, SL",,3 meses,SUMINISTRO,
,Camilla hidráulica de tratamiento para el Servicio de Neurofisiología del HVN,"1.795,06 €",,"OVIDIO SUÁREZ DISTRIBUCIONES, S.L.",,3 meses,SUMINISTRO,
,Seis camillas hidráulicas de exploración para el servicio de fisioterapia del HVN,"8.450,28 €",,"OVIDIO SUÁREZ DISTRIBUCIONES, S.L.",,3 meses y 7 días,SUMINISTRO,
