NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Calibración  de  equipo  otoemisiones  y 
audiómetro","777,69 €",,AUDIOLOGIA S.L.,,15 días,Servicios,
,"Sofware de IA para la lectura y el análisis 
de 
imágenes  médicas  del  Servicio  de 
Urgencias del HVAB","18.137,90 €",,GLEAMER SAS,,12 meses,Servicios,
,"Suministro de tres carros para monitores 
para  el  CARUAP  del  Centro  de  Mieres 
Sur","975,74 €",,"INSANEX  S.L. 
con 
CIF",,30 días,Suministros,
,"Suministro  de  un  Colposcopio  para  el 
Servicio de Ginecología del Hospital Vital 
Álvarez  Buylla  del  Área  Sanitaria  VII  del 
Servicio  de  Salud  del  Principado  de 
Asturias","18.120,84 €",,"Optomic 
España  
S.A.",,30 días,Suministros,
,"Lote 
1- 
Suministro 
de 
literas  más 
colchones, 
taquillas,  apoyabrazos  para 
extracciones.","1.646,89 €",,"OVIDIO 
SUÁREZ 
DISTRIBUCIONES 
S.L.",,30 días,Suministros,
,"Lote  3-  Suministro  de  dos  maletas  de 
transporte refrigeradas","544,50 €",,"OVIDIO 
SUÁREZ 
DISTRIBUCIONES 
S.L.",,30 días,Suministros,
,"Suministro  de  un  doppler 
fetal  para  el 
Servicio de Ginecología del Hospital Vital 
Álvarez Buylla del Área Sanitaria V","874,08 €",,"OVIDIO 
SUÁREZ 
DISTRIBUCIONES 
S.L.",,15 días,Suministros,
,"Suministro  en 
régimen  de  alquiler  de 
material  audiovisual  para  la  celebración 
de  dos  eventos  en  el  HVAB  del  Área 
Sanitaria VII","5.868,50 €",,"PROIMA 
ZEBRASTUR, S.L.",,2 días,Suministros,
,"Lote  2-  Suministro  de  una  camilla  de 
auscultación.","315,51 €",,SUMINFOR S.L.,,30 días,Suministros,
,"Suministro  de  Desinfectacuñas  para  el 
Hospital Vital Álvarez Buylla","9.583,20 €",,SURGIMEDIC S.A.,,30 días,Suministros,
