NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Suministro
de
una
(1)
báscula
electrónica
pesa
bebés
y
una
(1)
báscula
electrónica adulto con tallímetro, con destino al Centro de Salud de Arriondas y
Posada de Llanes","1.357,62 €",,"ALTERNATIVAS HOSPITALARIAS, S.L.",,1 mes,Suministros,
,"Suministro de 72 taquillas con destino al vestuario masculino de la Planta -1 del
Hospital del Oriente de Asturias, dependiente de la Gerencia del Área Sanitaria
VI","5.096,67 €",,"CLARIN LIBRERÍA Y PAPELERIA, S.L.",,1 mes,Suministros,
,"Suministro de una (1) silla ergonómica de oficina con ajuste lumbar, respaldo
basculante y reposabrazos ajustable en altura, con asiento en material
textil
acolchado traspirable, no deslizante, para la Secretaría de Gerencia del Área VI-
Arriondas","676,09 €",,"CLARIN LIBRERÍA Y PAPELERIA, S.L.",,1 mes,Suministros,
,"Suministro de dos
(2) armarios metálicos
con puerta persiana
y
cuatro (4)
cajoneras con destino a diversos Dispositivos Sanitarios de la Gerencia del Área
Sanitaria VI","1.525,81 €",,"GARCIA RIESTRA, S.A.",,1 mes,Suministros,
,"Suministro de dos (2) Neveras mini para medicación sin congelador, con destino
a la UCA y Consulta de Enfermería Polivalente del Hospital del Oriente de
Asturias, dependiente de la Gerencia del Área Sanitaria VI-Arriondas","619,52 €",,"GARCIA RODRIGUEZ HERMANOS HOSTELERIA, 
S.L.",,1 mes,Suministros,
,"Suministro de una (1) Sonda Gammapro STD y una (1) Tablet Grado Médico 12"",
con destino al Quirófano del Hospital de Oriente de Asturias, dependiente de la
Gerencia del Área Sanitaria VI-Arriondas","18.029,00 €",,"GENERAL EQUIPMENT FOR MEDICAL 
IMAGING,S.A.",,2 meses,Suministros,
,"Suministro de un (1) Equipo de Otoemisiones OTOPORT LITE TE, con destino al
Servicio de ORL del Hospital del Oriente de Asturias, dependiente de la Gerencia
del Área Sanitaria VI- Arriondas","5.082,00 €",,"INSTITUTO AUDITIVO SALESA, SL",,2 meses,Suministros,
,"Suministro de dos (2) sofás de 3 plazas, medidas 190cm L * 85cm F; cuatro (4)
sofás de 2 plazas, medidas 175cm L * 85cm F, y tres sillones de descanso para
distintas Salas de Personal de diversos dispositivos dependientes de la Gerencia
del Área Sanitaria VI-Arriondas","6.738,49 €",,"MUEBLES BALBÍN, S.A.",,2 meses,Suministros,
,"Suministro de dos (2) Equipos de aire acondicionado portátil Orbegozo ADR 127
con destino a las Consultas de Rehabilitación y Traumatología del Hospital de
Oriente de Asturias, dependiente de la Gerencia del Área Sanitaria VI-Arriondas","918,00 €",,NATALIA GUTIERREZ GONZÁLEZ,,7 días,Suministros,
,"Suministro, en régimen de arrendamiento, de un (1) equipo multifunción Tipo 3
con destino al Servicio de Atención al Usuario (SAU) del Hospital del Oriente de
Asturias, dependiente de la Gerencia del Área Sanitaria VI-Arriondas","283,50 €",,"NEA F3 MASTER, S.L.",,3 meses,Suministros,
,"Suministro e instalación de tres
(3) Señales Exteriores con directorio y un (1)
Rótulo Exterior en la entrada
principal del Hospital, para la Gerencia del Área
Sanitaria VI-Arriondas","15.955,25 €",,"ROTULA 2008, S.L.",,2 meses,Suministro,
,"Suministro de una (1) Mesa de Extracción con apoyabrazo y soporte cubo, con
destino al Centro de Salud de Arriondas, dependiente de la Gerencia del Área
Sanitaria VI-Arriondas","202,93 €",,"SALVADOR NAVARRO, S.L.",,1 mes,Suministros,
,"Suministro de un (1) Videoenteroscopio de ORL, marca Vivideo, modelo VNL9-
CP, con destino a la Consulta de Otorrinolaringología del Hospital del Oriente de
Asturias, dependiente de la Gerencia del Área Sanitaria VI-Arriondas","13.225,30 €",,"SUMINISTROS MÉDICO QUIRURGICOS, S.A.",,2 meses,Suministros,
,"Suministro de
cuatro (4)
camillas
con destino al
Servicio de Urgencias del
Hospital del Oriente de Asturias, dependiente de la Gerencia del Área Sanitaria
VI- Arriondas","17.861,10 €",,"SUMINISTROS MÉDICO QUIRURGICOS, S.A.",,1 mes,Suministros,
,"Suministro de una
(1) Camilla de
exploración polivalente
con destino a
la
Consulta de Gine-Uro-Medicina Interna del Hospital del Oriente de Asturias,
dependiente de la Gerencia del Área Sanitaria VI-Arriondas","3.598,10 €",,"SUMINISTROS MÉDICO QUIRURGICOS, S.A.",,3 meses,Suministro,
,"Suministro de material de oficina no inventariable relativo al Lote 2 del Acuerdo
Marco para el suministro de material de oficina no inventariable con destino a la
Administración del Principado de Asturias
y
sus organismos autónomos, así
como las entidades públicas y entes públicos adheridos","193,75 €",,"COMERCIAL MANUEL URONES, S.L.",,5 días,Suministro,
,"Suministro de material de oficina no inventariable relativo al Lote 2 del Acuerdo
Marco para el suministro de material de oficina no inventariable con destino a la
Administración del Principado de Asturias
y
sus organismos autónomos, así
como las entidades públicas y entes públicos adheridos","598,47 €",,VICTOR MANUEL NÚÑEZ FERNÁNDEZ,,5 días,Suministro,
