NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
,"Mantenimiento 
preventivo, 
técnico 
legal 
y 
correctivo en modo 
todo 
riesgo de cinco 
(5) 
gastroscopios 
ubicados 
en 
el 
Servicio 
de 
Digestivo","17.787,00",,"AGENOR 
MANTENIMIENTOS, S.A.",,8 meses,Servicio,
,"Mantenimiento preventivo y correctivo de 
la 
Sala 2 de Radiología Digital del Servicio de 
Radiodiagnóstico","18.135,48",,"AGFA NV SUCURSAL 
EN ESPAÑA",,12 meses,Servicio,
,"Mantenimiento preventivo y correctivo de 
la 
Sala 14 de Radiología Digital del Servicio de 
Radiodiagnóstico","18.135,48",,"AGFA NV SUCURSAL 
EN ESPAÑA",,12 meses,Servicio,
,"Depósito y custodia del archivo pasivo del 
Centro de Especialidades Dr. Avelino González 
(Pumarín)","5.750,50",,"ARCAL GESTIÓN 
DOCUMENTAL, S.L.",,12 meses,Servicio,
,Codificación de 4.400 informes de alta,"11.499,84",,"ASHO A-2, SL",,10 días,Servicio,
,"Arrendamiento de equipo de doblado mecánico 
de ropa con destino a la Lavandería","17.900,28",,"BOAYA, S.L.",,12 meses,Suministro,
,"Arrendamiento de un Tomógrafo de coherencia 
óptica (OCT) CIRRUS 5000 para el Servicio de 
Oftalmología","17.961,24",,"CARL ZEISS MEDITEC 
IBERIA S.A.U.",,12 meses,Suministro,
,"Mantenimiento 
del 
sistema 
de 
información 
FORUM del Servicio de Oftalmología","3.751,00 €",,"CARL ZEISS MEDITEC 
IBERIA, S.A.U.",,12 meses,Servicio,
,"Arrendamiento de un ecógrafo de alta gama GE 
Voluson VP8-BT18, con destino al Servicio de 
Obstetricia y Ginecología","8.034,40",,"CHICON MEDICAL, SLU.",,8 meses,Suministro,
,"Conjunto de taquillas modulares y bancos para 
vestuarios","13.993,01",,"CLARIN LIBRERÍA Y 
PAPELERIA S.L.",,28 días,Suministro,
,"Mantenimiento de las instalaciones de La Casa 
del Mar","18.124,25",,"ELECNOR SERVICIOS Y 
PROYECTOS, SAU",,12 meses,Servicio,
,"Mantenimiento y consultoría de los sistemas de 
calidad 
en 
los Servicios 
de Cocina 
y 
de 
Lavandería 
(normas 
ISO 
22000 
y 
9001 
respectivamente) del HUCAB y del Servicio de 
auditorías higiénico-sanitarias en el Servicio de 
Cocina del HUCAB, CTI de Montevil y CT de 
Somió","16.825,00",,"EUROLAB 
BIOCONSULTING, S.L.",,12 meses,Servicio,
,"Atención 
técnica 
telefónica para 
los grupos 
electrógenos","2.506,20",,"FINANZAUTO, S.A.U.",,12 meses,Servicio,
,"Mantenimiento del Arco Radioquirúrgico OEC 
ELITE CFD SC 31 CM VASCULAR MD en 
Cirugía Vascular","15.730,00",,"GENERAL ELECTRIC 
HEALTHCARE ESPAÑA, 
S.A.",,12 meses,Servicio,
,"Mantenimiento 
integral preventivo y correctivo 
del equipo Portátil digital de Rayos Óptima XR 
240 y detector digital","13.915,00",,"GENERAL ELECTRIC 
HEALTHCARE ESPAÑA, 
S.A.",,12 meses,Servicio,
,"Mantenimiento 
integral preventivo y correctivo 
del equipo Portátil de Rayos AMX 220 Óptima","13.310,00",,"GENERAL ELECTRIC 
HEALTHCARE ESPAÑA, 
S.A.",,12 meses,Servicio,
,"Arrendamiento de una mesa quirúrgica para el 
Servicio de Cirugía Ortopédica y Traumatología","6.025,80",,"GETINGE GROUP 
SPAIN, S.L.U.",,4 meses,Suministro,
,"Asistencia técnica en el desarrollo, implantación 
y mantenimiento del Sistema de Gestión de la 
Calidad","17.061,00",,"NOVOTEC 
CONSULTORES, S.A.",,12 meses,Servicio,
,Mantenimiento de una sonda WPROBE,"1.936,00",,"ONCOVISION / 
GENERAL EQUIPMENT 
FOR MEDICAL IMAGING 
SA",,12 meses,Servicio,
,"Arrendamiento 
de 
un 
ecobroncoscopio 
con 
destino a la Sección de Neumología","18.135,48",,"PENTAX MEDICAL 
IBERIA, SAU.",,12 meses,Suministro,
,"Arrendamiento de un ecoógrafo de endoscopia 
para el Servicio de Digestivo y la Sección de 
Neumología","18.133,06",,"PENTAX MEDICAL 
IBERIA, SAU.",,12 meses,Suministro,
,"Mantenimiento de los Sistemas de Alimentación 
Ininterrumpida","17.643,08",,"SALICRU, S.A.",,12 meses,Servicio,
,"Arrendamiento 
de 
una mesa 
de 
autopsias 
aspirante con elevación para el Servicio de 
Anatomía Patológica","14.095,58",,"SUMINISTROS MÉDICO-
QUIRÚRGICOS, S.A.",,12 meses,Suministro,
,"Arrendamiento de un sistema de elevación y 
transporte de cadáveres para el Servicio de 
Anatomía Patológica","3.434,04",,"SUMINISTROS MÉDICO-
QUIRÚRGICOS, S.A.",,12 meses,Suministro,
,"Arrendamiento de una mesa de disección móvil 
para el Servicio de Anatomía Patológica","2.032,80",,"SUMINISTROS MÉDICO-
QUIRÚRGICOS, S.A.",,12 meses,Suministro,
