NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2024/9317,"SERVICIO DE REPARACIÓN URGENTE PERSIANA EN OFICINA DE 
EMPLEO DE NAVIA","217,80 €",,CONOR PERSIANAS S.A.,A33799081,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/9858,SUMINISTRO SOBRES 120X176 mm,"27,23 €",,COMERCIAL MANUEL URONES,B33298738,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/10251,"SUMINISTRO EN FUNCION NECESIDADES, DE MOBILIARIO CON 
DESTINO AL EQUIPAMIENTO DE LA OF LANGREO","12.582,73 €",,"L1: CLARÍN LIBRERÍA Y PAPELERÍA
L2: MOBILIARIO DE OFICINA DIRECTO
L3: MOBILIARIO DE OFICINA DIRECTO","L1: B74016932
L2: B33649724 
L3: B33649724",,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/10520,"TRASLADO DE TOMAS DE CORRIENTE PARA ORDENADORES Y 
TELÉFONOS EN MARQUÉS DE TEVERGA","298,20 €",,"SERVICIOS INTEGRALES DE GESTION Y 
MANTENIMIENTO, S.A (MANTOTAL)",A74257437,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/11002,"SERVICIO DE DESATASCO RED DE SANEAMIENTO OFICINA SERVICIO 
PÚBLICO DE EMPLEO EN C/ ZUVILLAGA Nº 7 DE OVIEDO","181,50 €",,DESATASCOS Y FONTANERIAS ARIAS,***1042**,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/11352,"CONTRATO MENOR SUMINISTRO DE LUMINARIAS EMPOTRADAS LED 
PARA LA SUSTITUCIÓN DE EQUIPOS EN OFICINAS CENTRALES Y 
OFICINAS DE EMPLEO DE VEGADEO, TINEO,LLANES, CANGAS DE 
ONÍS,MIERES, GIJÓN II Y GIJÓN III.","11.116,51 €",,"NOVELEC ASTURIAS, S.L.",B52550522,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/12007,SERVICIO REPARACIÓN CIERRE ENROLLABLE OFICINAS CENTRALES,"102,85 €",,CONOR PERSIANAS S.A.,A33799081,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/12386,Reparación de cierre enrollable de la Oficina de Empleo de Navia,"2.277,22 €",,"ALULLAN TRANSFORMADOS DEL ALUMINIO 
S.L.U.",B33866831,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/12388,"Reparación de ventanas en las Oficinas de Empleo de Grado y de 
Infiesto","1.037,58 €",,"CONSTRUCCIONES METÁLICAS SEVI, S.L.",B33038068,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/12706,"Inspecciones iniciales por Organismo de Control Autorizado de la 
instalación de baja tensión y ascensor de la nueva oficina de empleo 
de Langreo","650,98 €",,"TÜV SÜD ATISAE, S.A.U.,",A28161396,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/12855,"Dirección de obra de instalación de baja tensión de nueva oficina de 
empleo de Langreo","786,50 €",,MARTA CANAL QUESADA,***9158**,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13127,"Suministro e instalación de rack de telecomunicaciones nueva oficina 
de empleo de Langreo","2.994,75 €",,"SERVICIOS INTEGRALES DE GESTION Y 
MANTENIMIENTO, S.A
 (MANTOTAL)",A74257437,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13369,"Servicio de reparación fuga de agua en instalación de fontanería 
aulario de Deva","657,76 €",,"ASTURIANA DE MANTENIMIENTO PREVENTIVO 
S.L. 
(AMPRE)",B33098039,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13489,"Servicio de mantenimiento para la puesta en marcha del ascensor de 
la nueva oficina de empleo de Langreo","278,30 €",,"ASCENSORES TRESA, S.A.",A33622937,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13641,"Contrato de Servicios para traslado de mobiliario y equipos 
informáticos de la actual oficina de empleo de Langreo a su nueva 
ubicación en la C/Jovellanos , nº 5 de Langreo","7.852,90 €",,MUDANZAS GENO S.L.,B33415399,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13670,Suministro de material diverso de ferretería,"5.445,00 €",,FERRETERIA LA UNION ASTURIANA SL,B33594771,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13275,AM Suministro de Calendarios y Agendas,"986,54 €",,COMERCIAL MANUEL URONES,B33298738,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13661,AM SUMINISTRO CAJAS MUDANZA OF LANGREO,"221,73 €",,COMERCIAL MANUEL URONES,B33298738,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13730,"CERTIFICACIÓN DE TOMAS DE 
DATOS RJ45 OF LANGREO","3.656,86 €",,KRAE INGENIERÍA E INSTALACIONE SL,B33937178,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13734,"Servicio de reparación urgente puertas automáticas en la Oficina de 
Empleo de Oviedo 2","2.433,70 €",,KONE,A28791069,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13804,"Servicio de reparación de puertas exteriores oficina de empleo Gijón III 
(La Calzada)","1.047,26 €",,"CONSTRUCCIONES METÁLICAS SEVI, S.L.",B33038068,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13825,SUMINISTRO Y MONTAJE CIERRE PROVISIONAL,"1.452,00 €",,INICIATIVAS EMPRESARIALES ASTURIANAS S.L.,B74099011,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13912,"CONTRATO MENOR SERVICIO INSTALACIÓN TOMA DE CORRIENTE 
CON RED DE TIERRA FOSO DE ASCENSOR OFICINA DE EMPLEO DE 
LLANES","289,12 €",,TK ELEVADORES ESPAÑA S.L.,B46001897,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13913,Rótulos Señalética Nueva Oficina de Langreo,"5.602,65 €",,"IVÁN SOLÍS (ERREDEA MARCACIÓN 
CORPORATIVA)",***3697**,,CONTRATACIÓN Y RÉGIMEN JURÍDICO,
CONP/2024/13180,"Servicio de sucripción de licencias de la herramienta PDFElement o 
equivalente","308,55 €",,Soluciones Digitales Integradas ACM S.L.U,B33524067,,PROGRAMAS DE EMPLEO,
SIL 24/49,Papel,"265,84 €",,LYRECO,A79206223,,INTERMEDIACIÓN LABORAL,
SIL 24/50,Papel,"198,92 €",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,INTERMEDIACIÓN LABORAL,
SIL 24/51,Material oficina,"291,55 €",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,INTERMEDIACIÓN LABORAL,
