NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP 2023 / 1773,TRASLADO DE MOBILIARIO,"5.451,05",,MUDANZAS GENO,B33415399,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 3335,SUMINISTRO E INSTALACION DE MAQUINA DE AIRE ACONDICIONADO,"15.486,43",,MANTOTAL,A74257437,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 3373,SERVICIO DE REPARACION DE MAQUINA DE CLIMATIZACION,"2.605,82",,MANTOTAL,A74257437,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 4645,SERVICIO DE CORRESPONDENCIA,"3.896,94",,SBC OUTSOURCING S.L,B85157337,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 817,SERVICIO DE MANTENIMIENTO Y CONSERVACION DE EDIFICIOS,"1.183,38",,L1 TK ELEVADORES,B46001897,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 818,SERVICIO DE MANTENIMIENTO Y CONSERVACION DE EDIFICIOS,"5.105,85",,L2 MANTOTAL,A74257437,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 819,SERVICIO DE MANTENIMIENTO Y CONSERVACION DE EDIFICIOS,"635,25",,L3 KONE ELEVADORES,A28791069,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
CONP 2023 / 820,SERVICIO DE MANTENIMIENTO Y CONSERVACION DE EDIFICIOS,"1.570,25",,L4 EULEN,A28517308,,,"[{""column"": ""SERVICIO"", ""value"": ""ECONOMICO ADMINISTRATIVO""}]"
SIL 23/01 CONP/2023/1037,Mantenimiento equipos de impresión 1º semestre 2023,"7.895,99",,"NEA F3 MASTER, S.L.",B33532722,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/02 CONP/2023/1124,Material de ferretería,"2.420,00",,"FERRETERÍA LA UNIÓN ASTURIANA, S.L.",B33594771,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/03 CONP/2023/1181,Tóner,"414,36",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/04 CONP/2023/1605,Material de electricidad,"3.630,00",,"ELECTROAVILÉS, S.A.",A33047242,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/05 CONP/2023/1606,Material de fontanería y construcción,"3.630,00",,"SANEAMIENTOS PEREDA, S.A.",A33094830,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/06 CONP/2023/4184,Desatasco WC,"254,10",,"INSTALACIONES Y REFORMAS JOCABA, S.L.",B33558172,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/07,Tóner,"175,45",,COMERCIAL HIDALGO ALONSO SL,B33114695,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/08 CONP/2023/3790,Sellos,"136,29",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/09 CONP/2023/3791,Tóner,"449,64",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/10 CONP/2023/3897,Cortina de aire,"3.802,50",,INSTALACIONES ELÉCTRICAS MÉNDEZ,E74135252,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/11 CONP/2023/3959,Ruta Hub Neoskills para el desarrollo de la empleabilidad,"18.137,90",,"ESCUELA DE CONKISTADORES, S.L.U.",B06696199,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/12 CONP/2023/6560,Material de oficina,"109,30",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/13 CONP/2023/6563,Papel,"370,87",,SUMINISTROS INTEGRALES GRANDA XXI SLL,B74328196,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/14 CONP/2023/6565,Tóner,"106,70",,COMERCIAL HIDALGO ALONSO SL,B33114695,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/15 CONP/2023/6568,Sello,"76,23",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/16 CONP/2023/6569,Material de Oficina,"197,77",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/17 CONP/2023/6584,Papel,"568,41",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/18 CONP/2023/6585,Tóner,"374,86",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/19 CONP/2023/6586,Kit fusor impresora,"239,00",,"CLARIN LIBRERIA Y PAPELERIA, S.L.",B74016932,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/20 CONP/2023/6587,Tóner,"878,46",,COMERCIAL HIDALGO ALONSO SL,B33114695,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/21 CONP/2023/6588,Material de oficina,"116,08",,SUMINISTROS INTEGRALES GRANDA XXI SLL,B74328196,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/22 CONP/2023/6589,Tóner,"56,87",,COMERCIAL HIDALGO ALONSO SL,B33114695,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/23 CONP/2023/6590,Papel,"330,33",,"CLARIN LIBRERIA Y PAPELERIA, S.L.",B74016932,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
SIL 23/24 CONP/2023/6591,Material de oficina,"131,56",,"COMERCIAL MANUEL URONES, S.L.",B33298738,,,"[{""column"": ""SERVICIO"", ""value"": ""INTERMEDIACION LABORAL""}]"
CONP/2022/11373,"SERVICIO CORRECTIVO, ADAPTATIVO Y EVOLUTIVO DE APP","6.050,00",,"VITESIA MOBILE SOLUTION, SL",B52501392,,,"[{""column"": ""SERVICIO"", ""value"": ""OBSERVATORIO OCUPACIONES""}]"
MEN2023000215,"PUBLICIDAD EDUCACION, PT AL, PMAR Y FP","924,57",,OF SERVICE BTP,ES‐B33766122,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023000325,PUBLICIDAD ENARA FSE+,"118,58",,IMPRASTUR,ES‐A3333303‐0,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023000323,"PUBLICIDAD, CARTELES AYTOS CALIDAD","1.537,22",,IMPRENTA NOVAL,ES‐B3344059‐5,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023000923,"PUBLICIDAD, FICHAS FSE+","16,09",,IMPRENTA NOVAL,ES‐B3344059‐6,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023001018,"PUBLICIDAD, PRENSA","3.214,97",,EDITORIAL PRENSA ASTURIANA SAU,ES‐A3305228‐3,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023001046,"PUBLICIDAD, PRENSA","1.824,08",,COMERCIALIZADORA DE MEDIOS DE ASTURIAS SL,ES‐B3391312‐0,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2023001019,GASTOS REUNIONES Y CONFERENCIAS,"440,00",,SABOR A NORTE EVENTOS SL,ES‐B7443461‐4,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
MEN2022004999,MAQUETACION PO FSE+,"2.100,00",,OLGA ELENA PICO SAN VICENTE,ES‐072503205‐Y,,,"[{""column"": ""SERVICIO"", ""value"": ""PROGRAMAS EUROPEOS""}]"
CONP/2022/11468,Bombonas propano (CFPE Aviles),"491,10",,"OXIGAR, S.L.",B33358912,,,"[{""column"": ""SERVICIO"", ""value"": ""SERVICIO GESTION CENTROS \nPROPIOS Y PROGRAMAS DE \nEMPLEO‐FORMACION""}]"
