NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2024/5296,"Servicio de reparaciones generales de la maquinaria agrícola del SERIDA en 
Villaviciosa y Deva","9.062,90 €",,AGRICOLA ADOLFO SL,,12 meses,Servicio,
CONP/2024/10544,"Suministro de desbrozadora para el centro de Biotecnología Animal del SERIDA 
en Deva, Gijón","3.993,00 €",,AGRICOLA ADOLFO SL,,1 mes,Suministro,
CONP/2024/10514,"Suministro de un tractor tipo frutero cabinado para el programa AGROALNEXT 
(FONDOS AUTONÓMICOS) del SERIDA","58.685,00 €",,AGRICOLA ADOLFO SL,,2 meses,Suministro,
CONP/2024/12157,"Suministro de desbrozadora para la granja DEMO Villanueva para el Área de 
Sistemas de Producción Animal del SERIDA en Villaviciosa","7.018,00 €",,AGRICOLA ADOLFO SL,,20 días,Suministro,
2024 291,"Suministro de dos sacos de turba y uno de perlita para el Proyecto Patología 
Vegetal","52,04 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 293,"Suministro de basacote 6m, perlita 100l, tapón reparador y contenedor 40L para 
el programa de Investigación Forestal","377,77 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 295,Suministro etiquetas doblar blanco para el proyecto INCREASE,"404,14 €",,AGRICOLA CUELI SL,,1 día,Suministro,
2024 279,Servicio de catering seminario Proyecto Lifesilfore,"314,33 €",,AGROALIMENTARIA JUDITH SL,,1 día,Servicio,
CONP/2024/11443,"Suministro de rodillo acoplado a rotovator con cargo al Programa de 
Investigación en Leche","5.291,60 €",,AGROEM SL,,1 mes,Suministro,
CONP/2024/9143,"Servicio de instalación de equipo mecánico de remoción y extracción de purines 
en la Granja Demo del SERIDA en Samielles, Villaviciosa","11.858,00 €",,AGROLAVAL SL,,45 días,Servicio,
CONP/2024/3214,Servicios veterinarios para los rebaños de leche y de carne del SERIDA,"8.954,00 €",,ALBENOR SL,,"8,5 meses",Servicio,
