NÚMERO IDENTIFICATIVO DEL CONTRATO,OBJETO,IMPORTE CON IVA,IMPORTE SIN IVA,ADJUDICATARIO,NIF ADJUDICATARIO,DURACIÓN,TIPO,METADATA
CONP/2025/5462,"CONTRATO MENOR DE SUMINISTRO DE 3 KITS COLORIMÉTRICOS (ISOCITRATE 
DEHYDROGENASE ASSAY KIT), REFERENCIA AB102528, CON CARGO AL PROYECTO DE 
INVESTIGACIÓN BANCO DE RECURSOS ZOOGENÉTICOS","1.485,00 €",,ABCAM,,1 mes,Suministro,
CONP/2025/4887,"CONTRATO MENOR DE PRODUCCIÓN DE PLANTAS DE VARIEDADES DE MANZANO 
PARA EL PROYECTO DE INVESTIGACIÓN INNOBREED(cid:13)","7.300,00 €",,ADELA FERNÁNDEZ RODRÍGUEZ,,"hasta el 
15/03/2026",Servicio,
CONP/2025/5923,"CONTRATO MENOR DE SERVICIO DE ESQUILEO DE OVINOS EN LAS GRANJAS DEMO 
DE EL CARBAYAL-ILLANO y LA MATA-GRADO DEL SERIDA CON CARGO AL PROYECTO 
I+D GRANJA DEMO CARNE","1.546,38 €",,ADRIANO BORRÁS GARGALLO,,15 días,Servicio,
2025-11325050143,Fotodocumentación SERIDA,"3,99 €",,"AGENCIA ESTATAL CONSEJO SUPERIOR DE 
INVESTIGACIONES CIENTÍFICAS",,1día,Servicio,
2025-25000596,Zumo manzana ecológico para el Proyecto PID2020-118737RR-C21,"96,20 €",,AGRECOASTUR SOCIEDAD COOPERATIVA,,1día,Suministro,
2025-25201,Chapa hileradora Proyecto I+D GRANJA DEMO CARNE,"468,27 €",,AGRICOLA ADOLFO SL,,1día,Suministro,
2025-314,TURBA TRAY PRESTOPF 70L para el Proyecto Legume Generation,"757,15 €",,AGRÍCOLA CUELI SL,,1día,Suministro,
2025-317,TURBA TRAY PRESTOPF 70L para el Proyecto Legume Generation,"378,58 €",,AGRÍCOLA CUELI SL,,1día,Suministro,
2025-318,Suministro etiquetas Proyecto I+D Banco Germoplasma Fruticultura,"267,70 €",,AGRÍCOLA CUELI SL,,1día,Suministro,
2025-319,Etiquetas plantas Proyecto Legume Generation,"419,76 €",,AGRÍCOLA CUELI SL,,1día,Suministro,
CONP/2025/5350,"CONTRATO MENOR DE ADQUISICIÓN DE MATERIALES PARA CULTIVO EN 
CONTENEDOR CON CARGO AL PROYECTO DE INVESTIGACIÓN CPP2021-008651 
CERES","1.578,74 €",,AGRÍCOLA CUELI SL,,1 mes,Suministro,
2025-275,Suministro garrafa de ácido fosfórico para Proyecto Demostración Agroforestal,"53,46 €",,AGRICULTURA VERDE SA,,1 día,Suministro,
CONP/2025/4539,"CONTRATO MENOR SUMINISTRO DE PRODUCTOS PARA EL DESARROLLO DE 
ENSAYOS DE CAMPO DEL PROYECTO LEGUME-GENERATION DEL ÁREA DE CULTIVOS 
HORTOFRUCTÍCOLAS Y FORESTALES DEL SERIDA","1.297,25 €",,AGRICULTURA VERDE SA,,4 semanas,Suministro,
CONP/2025/5877,"CONTRATO MENOR DE REGULACIÓN DE LOS FINALES DE CARRERA DE VARIOS 
MOTORES Y REPARACIÓN DE UNA VENTANA CENITAL EN LOS INVERNADEROS 
UBICADOS EN LA SEDE CENTRAL DEL SERIDA (VILLAVICIOSA)","1.974,72 €",,AGRICULTURA VERDE SA,,1 mes,Servicio,
2025-00321,Servicio de trabajos de excavación,"1.331,00 €",,AGROFORESTAL GRADO SL,,1día,Servicio,
CONP/2025/3756,"CONTRATO MENOR DE SERVICIO INSTALACIÓN DE MANGA PARA CONDUCCIÓN DE 
GANADO BOVINO PARA EL PROYECTO DE INVESTIGACIÓN PERTE-SMARTZ-MILK","2.383,70 €",,AGROLAVAL SL,,1 sem,Servicio,
CONP/2025/4791,"CONTRATO MENOR DE ADECUACIÓN DE NAVE GANADERA PARA LA INSTALACIÓN 
DE UN NUEVO ROBOT DE ORDEÑO","6.050,00 €",,AGROLAVAL SL,,1 sem,Servicio,
CONP/2025/4853,"CONTRATO MENOR DE SUMINISTRO DE TRES SILOS PARA PIENSO PARA LA GRANJA 
DEMO DE SAMIELLES EN EL ÁREA DE NUTRICIÓN PASTOS Y FORRAJES CON CARGO 
AL PROGRAMA AGROALNEXT-FONDOS AUTONÓMICOS,PROGRAMA DE INVERSIÓN 
2022/000872(cid:13)","12.995,40 €",,AGROLAVAL SL,,3 meses,Suministro,
CONP/2025/2461,"CONTRATO MENOR DE SERVICIOS DE ANÁLISIS DE METABARCODING PARA 
CARACTERIZAR LA DIETA DE AVES CON LA EMPRESA ALLGENETICS PARA EL 
CUMPLIMIENTO DE LOS OBJETIVOS PREVISTOS EN EL PROYECTO PID2020-120239RR-
100 SERVICIOS Y DISERVICIOS ECOSISTÉMICOS DE AVES Y MURCIÉLAGOS EN 
CULTIVOS FRUTALES (BATBIRDFRUIT)","28.306,57 €",,AllGenetics & Biology SL,,"hasta el 
15/09/2025",Servicio,
2025-743,Insecticida Proyecto INNOBREED,"478,84 €",,ALMACENES J SANJURJO SL,,1día,Suministro,
2025-202501212,"Suministro de material de construcción, dos llanas y una espátula","76,27 €",,ALMACENES RIO DE ORO SL,,1día,Suministro,
2025-202501290,Suministro de material de construcción,"45,38 €",,ALMACENES RIO DE ORO SL,,1día,Suministro,
2025-202501411,Suministro desatascador de goma,"30,47 €",,ALMACENES RIO DE ORO SL,,1día,Suministro,
2025-114532,Servicio pluma Proyecto Gastos I+D Granja Demo Leche,"402,02 €",,ALOSEI SL,,1día,Servicio,
2025-243C25,Material ferretería,"93,17 €",,ANGEL MANUEL GARCIA DE LA FUENTE,,1día,Suministro,
2025-250400685,Suministro de material de laboratorio para Proyecto IDE/2024/000777 SUSTCROP II,"172,18 €",,APLICACIONES CROMATOGRAFICAS SL,,1día,Suministro,
CONP/2025/4505,"CONTRATO MENOR SUMINISTRO DE MATERIAL DE LIMPIEZA PARA LOS CENTROS 
DEL SERIDA EN VILLAVICIOSA, DEVA Y GRADO","5.548,15 €",,APOLO ASTURIAS S.L.U.,,10 días,Suministro,
CONP/2025/5864,"CONTRATO MENOR DEL SERVICIO DE DESARROLLO DE ACTIVIDADES DE DIFUSIÓN, 
TRANSFERENCIA Y GOBERNANZA PARA EL PROYECTO CREACIÓN DE UN ESPACIO DE 
COMPARTICIÓN DE DATOS COMO HERRAMIENTA PARA LA MEJORA DE LA 
SOSTENIBILIDAD Y LA RENTABILIDAD DEL CULTIVO DE MANZANO DE SIDRA","49.800,00 €",,"Asociación Clúster de Tecnología de la 
información y la Comunicación de Asturias",,12 meses,Servicio,
2025-FA22469,Suministro material ferretería para instalaciones SERIDA,"752,72 €",,"ASTURCERES, SL",,1día,Suministro,
2025-FA22507,Suministro material ferretería,"406,20 €",,"ASTURCERES, SL",,1día,Suministro,
2025-C250311,Transporte de rotopacas de hierbas desde la finca de illano samielles,"605,00 €",,ASTURGAL SOCIEDAD COOPERATIVA,,1día,Servicio,
2025-C250438,"Transporte de rotopacas de hierba desde la finca de Illano a la de Samielles para el 
Proyecto PERTE SMARTZ-MILK","605,00 €",,ASTURGAL SOCIEDAD COOPERATIVA,,1día,Servicio,
CONP/2025/5673,"CONTRATO MENOR DEL SERVICIO DE EDICIÓN DE LA MEMORIA DE ACTIVIDADES DEL 
SERIDA 2024, REVISTA TECNOLOGÍA AGROALIMENTARIA. BOLETÍN INFORMATIVO 
DEL SERIDA  Nº 32  Y LIBRO EL CULTIVO DE LA ZARZAMORA","10.710,96 €",,ASTURGRAF SL,,30 días,Servicio,
SER/2025/207,"Servicio de impresión de 200 ejemplares de revista de tecnología agroalimentaria 
para las Jornadas de les Fabes","1.035,84 €",,ASTURGRAF SL,,1día,Servicio,
2025-253214,Adquisición dosis semen para el Proyecto PERTE SMARTZ-MILK,"396,00 €",,"ASTURIANA DE CONTROL LECHERO S. COOP. 
ASTUR",,1día,Suministro,
2025-268,Repuesto de regulador Proyecto Investigación Forestal,"68,90 €",,ASTURIANA DE REPUESTOS SL,,1día,Suministro,
2025-34865,Suministro de material de laboratorio para el  Proyecto PID2022-138633OR-I00,"160,08 €",,ASTURLAB ASTURIAS SL,,1día,Suministro,
SER/2025/195,"Suministro de material de laboratorio para el  Proyecto IDE/2024/000764 NYSA-
SERIDA II","577,88 €",,ASTURLAB ASTURIAS SL,,1día,Suministro,
SER/2025/215,Suministro de material de laboratorio para el  Proyecto PID2022-138633OR-I00,"109,63 €",,ASTURLAB ASTURIAS SL,,1día,Suministro,
CONP/2025/4187,"CONTRATO MENOR DE MATERIAL FUNGIBLE DE LABORATORIO 
(PLÁSTICO/VIDRIO/OTROS) CON CARGO AL PROYECTO DE INVESTIGACIÓN PID2022-
138633OR-I00-MOTHER","2.321,83 €",,ASTURLAB SL,,"hasta el 
20/12/2025",Suministro,
2025-0100000211,Suministro recambios vehículos SERIDA,"433,23 €",,AUTO RECAMBIOS GIJON SAL,,1día,Suministro,
2025-0100001142,Suministro recambios vehículos SERIDA,"21,18 €",,AUTO RECAMBIOS GIJON SAL,,1día,Suministro,
CONP/2025/3141,"CONTRATO MENOR DE kits ELISA PARA LA DETECCIÓN DE BIOMARCADORES DE 
TOLERANCIA A LA PARATUBERCULOSIS BOVINA (FENOTIPO 1) CON CARGO AL 
PROYECTO DE INVESTIGACION PID2021-122197OR-C22","15.205,71 €",,BIONOVA CIENTÍFICA SL,,3 meses,Suministro,
CONP/2025/4711,"CONTRATO MENOR DE SERVICIO DE INVENTARIADO DE LA FLORA VASCULAR EN 
ILLANO Y EN VILLACONDIDE (Coaña) CON CARGO AL PROYECTO DE INVESTIGACION 
LIFE SILFORE REM 2024 (NO. 101074445  LIFE21-CCA-ES-LIFE SILFORE)","4.600,00 €",,BIOSFERA CONSULTORIA MEDIOAMBIENTAL S.L.,,"hasta el 
15/07/2025",Servicio,
